subj,order,list,item,condition,sentence,question,correct_answer,response
999,91,4,97,Filler,A pessimistic prediction can quite often become a self-fulfilling prophecy.,NA,NA,return,0.7776237999787554
999,92,4,42,Filler,The death of the store owner was tragic and senseless.,NA,NA,4,1.8361956999870017
999,93,4,13,SemCrit,The reagents reacted faster in the presence of a callus.,NA,NA,4,1.144804700044915
999,94,4,38,Filler,He felt the meeting was pointless, but attendance was mandatory.,NA,NA,4,0.682357499958016
999,95,4,18,GoodExp,The sociologist investigated how status interacted with ethnicity and gender.,NA,NA,4,0.736595300026238
999,96,4,79,Filler,The most formal attire for a man is a tuxedo.,NA,NA,4,1.0529390999581665
999,97,4,145,Filler,The stock exchange was host to millions of financial transactions.,NA,NA,return,2.22942280001007
999,98,4,91,Sem,She was vaccinated so her body would developed a cartoon.,NA,NA,return,1.7926601000363007
999,99,4,153,Control,Rather than reducing violence, the intervention just caused an escalation.,NA,NA,return,69.67916529998183
999,100,4,33,SemCrit,Blinking causes a momentary pupil contraction followed by a dilution.,NA,NA,return,1.2212638000492007
999,101,4,271,Filler,The cause of the helicopter crash was a mechanical malfunction.,NA,NA,return,1.353917000000365
999,102,4,95,Filler,She wanted a green lawn and a white picket fence.,NA,NA,return,1.0008970000781119
999,103,4,168,Filler,The detective dusted the glass to reveal the criminal's fingerprint.,NA,NA,return,0.5446383999660611
999,104,4,119,Sem,He soon backed away, sensing he had crossed a manatee.,NA,NA,return,0.7048935999628156
999,105,4,54,Synt,Despite technological advances, wars cannot be won without an infantries.,NA,NA,return,0.8762644999660552
999,106,4,141,Filler,Surrounded by impassable mountains, the indigenous community was completely isolated.,NA,NA,return,0.7366749999346212
999,107,4,98,Filler,The meek student was too intimidated to ask a question.,NA,NA,return,0.642937499913387
999,108,4,12,SemCrit,There is a beanbag toss game booth at this cardinal.,NA,NA,return,0.6954306000843644
999,109,4,45,Synt,The casket was carried to the cemetery in a hearses.,NA,NA,return,0.8672335000010207
999,110,4,140,Filler,Many people drink coffee for a daily dose of caffeine.,NA,NA,return,0.6428110999986529
999,111,4,124,Control,The napalm turned the luscious forest into a fiery inferno.,NA,NA,return,0.8253938999259844
999,112,4,89,Filler,His attempt to sound grand just came off as pompous.,NA,NA,return,0.8237160999560729
999,113,4,10,Filler,The old farmer plowed the corn field with a tractor.,NA,NA,return,0.7793960999697447
999,114,4,136,Control,I control my fate; I don't have a predetermined destiny.,NA,NA,return,0.7122593000531197
999,115,4,223,Filler,Many companies and corporations will match their employees' charitable donations.,NA,NA,return,0.7125370999565348
999,116,4,280,Filler,The mother rocked the baby to sleep in a cradle.,NA,NA,return,0.5858092999551445
999,117,4,22,Filler,The magnificent roaring sea made him feel small and insignificant.,NA,NA,return,0.6830156000796705
999,118,4,25,Filler,The radio transmission we thought was secure has been intercepted.,NA,NA,return,0.6245268000056967
999,119,4,128,Filler,The judge ordered the audience to stop disrupting the proceedings.,NA,NA,return,0.7916909999912605
999,120,4,213,Filler,The foreigner found it difficult to overcome the language barrier.,NA,NA,return,0.5944023000774905
999,121,4,113,Filler,The baron pouted, feeling the insult had wounded his dignity.,NA,NA,return,0.640951200039126
999,122,4,16,SemCrit,The dentist congratulated me on not having a single cavalry.,NA,NA,return,0.6124816000228748
999,123,4,15,SemCrit,Pikemen can be an effective defense against a charging cavity.,NA,NA,return,2.3413640999933705
999,124,4,208,Filler,The couple drank coffee and exchanged lively and playful banter.,NA,NA,return,0.46689190005417913
999,125,4,69,Synt,The ring held small diamonds set around this blue sapphires.,NA,NA,return,0.8371773000108078
999,126,4,185,Filler,The novel's twist ending was a surprise to many readers.,NA,NA,return,0.5473956000059843
999,127,4,93,Filler,In his nightmare, he plummeted down a dark endless abyss.,NA,NA,return,0.8762861000141129
999,128,4,101,Sem,The museum pass provides five dollars off of each carnival.,NA,NA,return,0.7118036999600008
999,129,4,214,Filler,Although hedgehogs are nocturnal, they sometimes enjoy rays of sunshine.,NA,NA,return,0.7117594999726862
999,130,4,78,Synt,Agriculture in this desert would be impossible without this irrigations.,NA,NA,return,1.4068122999742627
999,131,4,57,Synt,The three kings bore gifts of gold, myrrh, and frankincenses.,NA,NA,return,1.886676200083457
999,132,4,48,Synt,The sermon denounced pride and extolled the virtue of humilities.,NA,NA,return,0.87509190000128
999,133,4,239,Filler,The rich old woman left her grandson a large inheritance.,NA,NA,return,0.8247305999975652
999,134,4,44,Filler,The persistent child worked for hours on the jigsaw puzzle.,NA,NA,return,0.5727415999863297
999,135,4,92,Filler,After the important deal fell through, the company went bankrupt.,NA,NA,return,0.8278818000108004
999,136,4,111,Filler,The child painstakingly knotted the laces on her new sneakers.,NA,NA,return,0.5704388000303879
999,137,4,116,Filler,The algebra students learned how to solve a quadratic equation.,NA,NA,return,0.8531562999123707
999,138,4,142,Filler,Olive oil and balsamic vinegar make a great salad dressing.,NA,NA,return,0.583945499965921
999,139,4,40,GoodExp,The audio editing software was available as a free download.,NA,NA,return,0.7200146000832319
999,140,4,24,Filler,The king's court was filled with scandal and political intrigue.,NA,NA,return,1.7958192999940366
999,141,4,176,Filler,To make tea, you should boil water in a kettle.,NA,NA,return,0.6980114000616595
999,142,4,1,GoodExp,The mysterious murders crippled the community with fear and paranoia.,NA,NA,return,0.4947327000554651
999,143,4,177,Filler,Smoking tobacco greatly increases the risk of developing lung cancer.,NA,NA,return,1.38004479999654
999,144,4,123,Filler,The public swimming pool was carefully supervised by a lifeguard.,NA,NA,return,1.3768883999437094
999,145,4,186,Filler,Because of the bonfire incident, all the campers were punished.,NA,NA,return,1.317929400014691
999,146,4,5,GoodExp,The family switched their light bulbs from incandescent to fluorescent.,NA,NA,return,0.607334400061518
999,147,4,110,Filler,To keep healthy, do aerobic exercises like running or jogging.,NA,NA,4,1.41677560005337
999,148,4,115,Filler,The filmmaker hoped to inform the public with the documentary.,NA,NA,4,0.6891771000809968
999,149,4,118,Sem,Romeo longingly admired Juliet as she stood on this consciousness.,NA,NA,4,1.2659659999189898
999,150,4,246,Filler,When the parents went out together they hired a babysitter.,NA,NA,4,0.839297299971804
999,151,4,79,Synt,The poor stayed poor because of this limited upward mobilities.,NA,NA,4,0.7847930999705568
999,152,4,215,Filler,Although the auditorium is modern, it has quite poor acoustics.,NA,NA,4,0.6058657000539824
999,153,4,138,Control,My back was so tense I really needed a massage.,NA,NA,4,0.6837610999355093
999,154,4,54,Filler,The bodyguard chased after the fan at the rock concert.,NA,NA,4,0.540710199973546
999,155,4,248,Filler,Scientists believe an asteroid impact is what killed the dinosaurs.,NA,NA,4,0.6946890000253916
999,156,4,272,Filler,A nobleman traveled to distant lands in search of adventure.,NA,NA,4,0.625466899946332
999,157,4,252,Filler,In comparison to her uptight brother, she was quite mellow.,NA,NA,4,0.5930804999079555
999,158,4,80,Synt,Champagne was once reserved exclusively for the royalty and nobilities.,NA,NA,4,1.3626484000124037
999,159,4,135,Control,The crowded urban neighborhood had a very high population density.,NA,NA,4,0.5997067000716925
999,160,4,66,Synt,The computer could read text aloud using a speech synthesizers.,NA,NA,4,0.7746263999724761
999,161,4,41,Filler,Only upperclassmen could join, and he was still a sophomore.,NA,NA,4,0.6183599000796676
999,162,4,243,Filler,He hoped his research would lead to many practical applications.,NA,NA,4,0.4822419999400154
999,163,4,216,Filler,At approximately age twelve, children begin to go through puberty.,NA,NA,4,0.5306877999100834
999,164,4,113,Sem,The United States has a large stockpile of nuclear adoration.,NA,NA,4,0.8135882000206038
999,165,4,255,Filler,Halloween is a time to dress up in a costume.,NA,NA,4,0.5318938000127673
999,166,4,114,Sem,The Christmas tree was decorated with many shining glass infantry.,NA,NA,4,0.8586311000399292
999,167,4,14,SemCrit,After hours of playing, the guitarist's fingertips developed a catalyst.,NA,NA,4,0.6517853999976069
999,168,4,50,Synt,Use Pythagoras' theorem to find the length of a hypotenuses.,NA,NA,4,0.7678682999685407
999,169,4,218,Filler,After the housing market crashed, many homes were left vacant.,NA,NA,4,0.7859145000111312
999,170,4,197,Filler,A crepe is like a very thin and delicate pancake.,NA,NA,4,0.9888298000441864
999,171,4,107,Filler,The nonconformist despised fashion and never cared about his reputation.,NA,NA,4,0.7132959000300616
999,172,4,26,GoodExp,She needed to buy detergent so she could do laundry.,NA,NA,4,0.4304815001087263
999,173,4,236,Filler,The public drinking water supply was tested regularly for contaminants.,NA,NA,4,0.7745523999910802
999,174,4,2,Filler,To succeed, you must be more than just a dreamer.,NA,NA,4,0.6717972999904305
999,175,4,219,Filler,The victims of the industrial accident angrily demanded adequate compensation.,NA,NA,4,119.52149299997836
999,176,4,88,Filler,They started a viral marketing campaign to increase their publicity.,NA,NA,4,1.7213286999613047
999,177,4,125,Control,I blacked out and was confused when I regained consciousness.,NA,NA,4,18.619350300054066
999,178,4,70,Filler,The reported bribery was just the tip of the iceberg.,NA,NA,4,39.729247299954295
999,179,4,83,Sem,The circus featured an acrobat, a clown, and a cavity.,NA,NA,4,0.5611967999720946
999,180,4,70,Synt,The rice was spiced with a pinch of that saffrons.,NA,NA,4,0.3127107999753207
999,181,4,80,Filler,During industrialization, many moved to cities to work in factories.,NA,NA,4,0.7178883000742644
999,182,4,130,Control,The congregation listens to a sermon delivered by a pastor.,NA,NA,4,0.6346385999349877
999,183,4,220,Filler,Despite my occasional jealousy, I never wanted our roles reversed.,NA,NA,4,0.5026165000163019
999,184,4,65,Filler,The most popular pastas are macaroni, vermicelli, lasagna, and spaghetti.,NA,NA,4,0.5601239000679925
999,185,4,17,Filler,Regulating interstate trade is a job of the federal government.,NA,NA,4,0.5689406999154016
999,186,4,55,Filler,Apple pie filling is usually spiced with nutmeg and cinnamon.,NA,NA,4,0.35105789999943227
999,187,4,134,Control,Once Faust signed, he was doomed to this eternal damnation.,NA,NA,4,0.5249029999831691
999,188,4,217,Filler,The legislators hoped to induce a more equal income distribution.,NA,NA,4,0.3697558999992907
999,189,4,242,Filler,To garner support for the war, the government issued propaganda.,NA,NA,4,0.4917051000520587
999,190,4,30,GoodExp,A gust of wind blew the newspaper down the street.,NA,NA,4,0.5592352000530809
999,191,4,59,Synt,This docile herbivorous aquatic mammal is known as a manatees.,NA,NA,4,0.2718012999976054
999,192,4,28,Filler,He preferred reading biographies and historical accounts to reading novels.,NA,NA,4,0.4449173000175506
999,193,4,44,Synt,The pseudoscience of inferring personality from skull measurements is phrenologies.,NA,NA,4,0.7184102999744937
999,194,4,167,Filler,Supposedly, scrubbing your face with oatmeal is great for exfoliation.,NA,NA,4,0.5905048999702558
999,195,4,24,GoodExp,Desperately, the skydiver pulled the cord for his backup parachute.,NA,NA,4,0.6639362999703735
999,196,4,251,Filler,Although the water was boiling, the pasta was not soft.,NA,NA,4,0.6460019999649376
999,197,4,71,Synt,For lunch, she had brought tomato soup in a thermoses.,NA,NA,4,0.48407420003786683
999,198,4,99,Sem,The teacher taught that subtraction was the opposite of humility.,NA,NA,4,18.58167530002538
999,199,4,139,Filler,The hotel bathroom had little bottles of shampoo and conditioner.,NA,NA,4,1.0370863999705762
999,200,4,49,Filler,Diplomats hoped the dispute would come to a peaceful resolution.,NA,NA,4,0.6888419999741018
999,201,4,30,Filler,Xenophobia is an unreasonable fear or hatred of all foreigners.,NA,NA,4,0.4727185999508947
999,202,4,13,GoodExp,He was in charge of sending out the wedding invitations.,NA,NA,4,0.5088942999718711
999,203,4,25,GoodExp,When the car exploded, the burning plastic emitted toxic fumes.,NA,NA,4,0.5162926999619231
999,204,4,11,Filler,The report's aims were briefly outlined in the opening paragraph.,NA,NA,4,0.4486720999702811
999,205,4,8,SemCrit,The upscale apartment was complete with all these modern anemones.,NA,NA,4,0.5625916999997571
999,206,4,164,Filler,The missionary hoped that many local people would be converted.,NA,NA,4,0.5615195999853313
999,207,4,172,Filler,The protests were swiftly followed by a harsh government crackdown.,NA,NA,4,0.8519183000316843
999,208,4,151,Filler,The sky lit up with sparkling explosions and shimmering sparks.,NA,NA,4,0.5616965000517666
999,209,4,142,Control,His personality was dramatically altered after acquiring this brain lesion.,NA,NA,4,0.5298455000156537
999,210,4,117,Sem,The cheapest lunchmeat at this grocery store is this immortality.,NA,NA,4,0.5872299000620842
999,211,4,148,Filler,He was frightened by the woman's sudden anger and hostility.,NA,NA,4,0.6451658000005409
999,212,4,19,GoodExp,Because the dictator was feared, no protests ever took place.,NA,NA,4,0.49687679996713996
999,213,4,76,Synt,Some controversial stem cell research requires a fertilized human embryos.,NA,NA,4,0.8460164000280201
999,214,4,152,Filler,Women in the workplace often faced physical and verbal harassment.,NA,NA,4,1.667012199992314
999,215,4,55,Synt,Oh, yes, very impressive, she drawled with a sarcastic inflections.,NA,NA,4,0.4759110000450164
999,216,4,129,Filler,Many women juggle a career, caring for children, and housekeeping.,NA,NA,4,0.4079815000295639
999,217,4,68,Synt,He denounced the novel's film adaptation as a complete travesties.,NA,NA,4,0.4765118999639526
999,218,4,128,Control,The Big Dipper may perhaps be the most famous constellation.,NA,NA,4,0.5552897000452504
999,219,4,139,Control,The president of the college handed each graduate a diploma.,NA,NA,4,0.4135534999659285
999,220,4,228,Filler,If it is too sunny, you should close the curtains.,NA,NA,4,0.2968422999838367
999,221,4,111,Sem,Marie Curie died of exposure to radiation from this veterinarian.,NA,NA,4,0.5740638000424951
999,222,4,12,Filler,The sunrise was accompanied by the crowing of the rooster.,NA,NA,4,0.4354721999261528
999,223,4,148,Control,The doomsday preacher urged repentance and warned of an apocalypse.,NA,NA,4,0.6599974000127986
999,224,4,129,Control,The herd of cows was out grazing in a pasture.,NA,NA,4,0.6155772999627516
999,225,4,6,GoodExp,Right-to-die activists believe it should be legal to perform euthanasia.,NA,NA,4,0.37293070007581264
999,226,4,9,GoodExp,The chimpanzee's vicious attack left the woman's face completely eviscerated.,NA,NA,4,0.5748337999684736
999,227,4,42,Synt,He had sprinted and was still sweating from this exertions.,NA,NA,4,0.254289900069125
999,228,4,26,SemCrit,His office is down at the end of this coroner.,NA,NA,4,0.7651902999496087
999,229,4,112,Sem,No light escapes the black hole once within this cabaret.,NA,NA,4,48.10037760005798
999,230,4,3,Filler,Repulsed by the city's defenses, they resorted to a siege.,NA,NA,4,39.34604460000992
999,231,4,7,Filler,The terrorists threatened to kill all of the frightened hostages.,NA,NA,4,0.6257599000819027
999,232,4,264,Filler,A lab assistant fainted because the room was too stuffy.,NA,NA,4,0.37037419993430376
999,233,4,34,Filler,Police arrested the drunk driver and revoked his driver's license.,NA,NA,4,0.5204570000059903
999,234,4,73,Filler,For their date, the couple went to a nice restaurant.,NA,NA,4,0.43874470004811883
999,235,4,171,Filler,The souls of the wicked were condemned to eternal torment.,NA,NA,4,0.5750803999835625
999,236,4,20,GoodExp,The caterpillar enters its cocoon and undergoes an amazing metamorphosis.,NA,NA,4,0.30652340000960976
999,237,4,72,Synt,The soaring eagle circled and glided upwards on a thermals.,NA,NA,4,0.8549127998994663
999,238,4,190,Filler,The major led a large company, consisting of five platoons.,NA,NA,4,0.4283983000786975
999,239,4,204,Filler,The student raced to finish the paper before the deadline.,NA,NA,4,0.31076050002593547
999,240,4,122,Control,The slogan "change" was a focus of that presidential campaign.,NA,NA,4,0.4714711999986321
999,241,4,169,Filler,Most works take ninety-five years to enter the public domain.,NA,NA,4,1.1248530999291688
999,242,4,75,Filler,The gifted rapper was famous for his complex multisyllabic rhymes.,NA,NA,4,0.8203010000288486
999,243,4,84,Sem,She lunged towards his neck, going right for the nymph.,NA,NA,4,1.194836899987422
999,244,4,114,Filler,She loved bread and always dreamed of opening a bakery.,NA,NA,4,2.633192600100301
999,245,4,126,Control,After she deceived her mother, she had a guilty conscience.,NA,NA,4,0.5863394000334665
999,246,4,221,Filler,GPS navigation relies on receiving radio signals from orbiting satellites.,NA,NA,4,0.7746522999368608
999,247,4,146,Filler,Stagnant water is the perfect breeding ground for a mosquito.,NA,NA,4,0.43612960004247725
999,248,4,100,Sem,The flute player nervously prepared an excerpt for a corridor.,NA,NA,4,4.909491900005378
999,249,4,28,SemCrit,The king knelt to be crowned at an official correlation.,NA,NA,4,0.4260976000223309
999,250,4,180,Filler,He wouldn't come to the bargaining table without significant leverage.,NA,NA,4,0.5306549998931587
999,251,4,275,Filler,She felt that the novel was spoiled by the translation.,NA,NA,4,1.070132500026375
999,252,4,16,GoodExp,The man shaved away his stubble with a disposable razor.,NA,NA,4,0.5954677999252453
999,253,4,72,Filler,The skilled adventurer knew how to survive in the wilderness.,NA,NA,4,0.4713521000230685
999,254,4,261,Filler,This common but delicious hearty vegetable soup is called minestrone.,NA,NA,4,0.4478764000814408
999,255,4,85,Filler,You must come to court if you have been summoned.,NA,NA,4,0.5373276999453083
999,256,4,202,Filler,Friends gathered to honor the memory of the dearly departed.,NA,NA,4,0.6078733999747783
999,257,4,99,Filler,A judge or a priest can perform an official marriage.,NA,NA,4,0.6261331000132486
999,258,4,134,Filler,The manager saw no good way to resolve this dilemma.,NA,NA,4,0.6067490000277758
999,259,4,15,Filler,When my microwave died, I searched online for a replacement.,NA,NA,4,0.7114338999381289
999,260,4,24,SemCrit,The child wore a glittery crown with a pink rhino.,NA,NA,4,0.5788589000003412
999,261,4,22,GoodExp,She woke up crying and shaking after a horrible nightmare.,NA,NA,4,0.30482600000686944
999,262,4,90,Filler,The royal guards threw the prisoner into the castle dungeon.,NA,NA,4,0.294795099995099
