subj	order	list	item	condition	sentence	question	correct_answer	response
444	35	1	39	Filler	The museum's Egyptian exhibition included many intriguing ceremonial burial artifacts.	Were the artifacts from China? 	No	2	2.1247995998710394
444	36	1	27	Filler	The female parts of a flower are called the carpel.	NA	NA	1	0.48999520018696785
444	37	1	248	Filler	Scientists believe an asteroid impact is what killed the dinosaurs.	NA	NA	1	0.7215807000175118
444	38	1	39	GoodExp	This mission is critical, and completing it successfully is imperative.	NA	NA	1	3.8699270002543926
444	39	1	128	SemCrit	The Big Dipper may perhaps be the most famous consternation.	NA	NA	1	0.5214623999781907
444	40	1	107	Synt	The college sent out a newsletter to all its alumnus.	NA	NA	1	5.182775900233537
444	41	1	69	Filler	The breeding ground was set aside as a wildlife sanctuary.	NA	NA	1	8.150374899618328
444	42	1	32	Filler	While evacuating, she lost her phone in all the commotion.	NA	NA	1	3.2703680000267923
444	43	1	33	GoodExp	I was pleased to find my hosts were very welcoming.	NA	NA	1	61.59660129994154
444	44	1	148	SemCrit	The doomsday preacher urged repentance and warned of an apostrophe.	NA	NA	1	0.7872585002332926
444	45	1	111	Synt	Marie Curie died of exposure to radiation from this radiums.	Did radiation cause her death? 	Yes	1	1.25585460010916
444	46	1	275	Filler	She felt that the novel was spoiled by the translation.	NA	NA	1	0.8382129999808967
444	47	1	14	Filler	A terrifying three-headed dog guarded the entrance to the underworld.	NA	NA	1	2.6738324998877943
444	48	1	51	Filler	The woman was stubborn and refused to lose an argument.	NA	NA	1	2.1176693998277187
444	49	1	100	Synt	The flute player nervously prepared an excerpt for an auditions.	NA	NA	1	0.7563024996779859
444	50	1	47	Filler	When the toy proved hazardous, the victims sued the manufacturer.	NA	NA	1	2.2249601003713906
444	51	1	85	Filler	You must come to court if you have been summoned.	NA	NA	1	2.2542086001485586
444	52	1	114	Filler	She loved bread and always dreamed of opening a bakery.	NA	NA	1	0.797914800234139
444	53	1	191	Filler	The French doors opened out onto a large shaded terrace.	NA	NA	2	0.3384629995562136
444	54	1	14	GoodExp	The evil villain secretly concocted a diabolical and convoluted scheme.	NA	NA	1	0.44910599989816546
444	55	1	174	Filler	At the airport they finally parted after exchanging tearful farewells.	NA	NA	1	0.42210649978369474
444	56	1	84	Synt	She lunged towards his neck, going right for the jugulars.	NA	NA	1	0.4173193001188338
444	57	1	37	Control	Disgusted, she pulled away from his touch with a shudder.	Was she grossed out?   	Yes	1	1.3595799002796412
444	58	1	119	Filler	Stradivari is renowned worldwide for making the most incredible violins.	Is his fame limited to Europe? 	No	2	2.3237017998471856
444	59	1	17	GoodExp	The earth shook and buildings crumbled in the massive earthquake.	NA	NA	1	0.8435718002729118
444	60	1	254	Filler	The main ingredient in a Caesar salad is Romaine lettuce.	NA	NA	1	4.200123100075871
444	61	1	27	Control	Statisticians emphasize that causation is not implied by a correlation.	NA	NA	1	0.6930841999128461
444	62	1	61	Sem	Apply this eyeliner and brush your lashes with this audition.	NA	NA	1	0.6004388001747429
444	63	1	186	Filler	Because of the bonfire incident, all the campers were punished.	NA	NA	1	0.5963657000102103
444	64	1	49	Filler	Diplomats hoped the dispute would come to a peaceful resolution.	NA	NA	1	0.9039598000235856
444	65	1	32	Control	A new gravitational theory was proposed by an eminent physicist.	NA	NA	1	3.8875818997621536
444	66	1	37	Filler	The thoroughbred racing horse was ridden by an experienced jockey.	NA	NA	1	0.5405979002825916
444	67	1	222	Filler	The villain's struggling captive inadvertently triggered the final launch countdown.	NA	NA	1	0.5058117001317441
444	68	1	158	SemCrit	Blizzards are deadly hazards for explorers on an arctic expectation.	Can the weather be dangerous? 	Yes	1	1.31179070007056
444	69	1	46	Sem	Each winter evening, the family gathers around a warm alteration.	NA	NA	1	0.45071120001375675
444	70	1	155	Filler	Wearing shoes that don't fit will give you a blister.	Does the sentence mention socks? 	No	2	1.6903627999126911
444	71	1	131	SemCrit	A soldier fighting for the highest bidder is a missionary.	NA	NA	1	0.9266588999889791
444	72	1	9	GoodExp	The chimpanzee's vicious attack left the woman's face completely eviscerated.	Were the monkeys violent? 	Yes	1	1.2530933995731175
444	73	1	104	Synt	Edith Piaf's extraordinary singing career was begun in a cabarets.	NA	NA	2	1.0022861999459565
444	74	1	113	Filler	The baron pouted, feeling the insult had wounded his dignity.	NA	NA	1	0.5082078003324568
444	75	1	129	Filler	Many women juggle a career, caring for children, and housekeeping.	NA	NA	1	8.729087099898607
444	76	1	201	Filler	As the population ages, more adults find themselves becoming caregivers.	NA	NA	1	1.1948000001721084
444	77	1	7	GoodExp	Tourists gazed at the temple's magnificent rows of marble columns.	NA	NA	1	4.025070699863136
444	78	1	83	Synt	The circus featured an acrobat, a clown, and a jugglers.	NA	NA	1	4.591010699979961
444	79	1	180	Filler	He wouldn't come to the bargaining table without significant leverage.	NA	NA	1	12.860898000188172
444	80	1	266	Filler	Studies have shown that the most addictive substance is nicotine.	NA	NA	1	0.5785103999078274
444	81	1	217	Filler	The legislators hoped to induce a more equal income distribution.	NA	NA	2	4.090454199817032
444	82	1	14	Control	After hours of playing, the guitarist's fingertips developed a callus.	NA	NA	1	9.493735699914396
444	83	1	34	GoodExp	The self-absorbed man considered himself a profound thinker and philosopher.	NA	NA	1	0.6789271999150515
444	84	1	44	Sem	The pseudoscience of inferring personality from skull measurements is saffron.	NA	NA	1	7.356576399877667
444	85	1	41	Filler	Only upperclassmen could join, and he was still a sophomore.	NA	NA	1	9.429164499975741
444	86	1	68	Sem	He denounced the novel's film adaptation as a complete diploma.	NA	NA	1	0.7690946999937296
444	87	1	105	Filler	The air smelled of pine and the birds were chirping.	NA	NA	1	0.3124262997880578
444	88	1	100	Filler	After a risky surgery, the man unfortunately died of complications.	NA	NA	1	11.320041900034994
444	89	1	135	SemCrit	The crowded urban neighborhood had a very high population destiny.	NA	NA	1	2.095541500020772
444	90	1	99	Filler	A judge or a priest can perform an official marriage.	NA	NA	1	0.8185578002594411
444	91	1	74	Sem	The powerful cheetah sprinted in pursuit of a baby addition.	NA	NA	2	0.8208165001124144
444	92	1	106	Synt	The coach scolded the player for having a bad attitudes.	NA	NA	1	0.5807666000910103
444	93	1	125	Filler	As death approached, the patient's breathing became shallow and irregular.	Does the sentence mention a patient?	Yes	1	1.4331008000299335
444	94	1	257	Filler	To her coffee she added a package of artificial sweetener.	NA	NA	1	0.6023436998948455
444	95	1	92	Synt	Incensed at the captain, the crew staged a full-scale mutinies.	NA	NA	1	0.6963333999738097
444	96	1	137	SemCrit	She didn't answer the phone, so I left a massage.	NA	NA	1	12.11325309984386
444	97	1	124	Filler	The teacher asked the children's parents to volunteer as chaperones.	NA	NA	1	200.05547469994053
444	98	1	161	Filler	The guests dipped strawberries and bananas into the chocolate fondue.	NA	NA	1	7.131716500036418
444	99	1	103	Filler	The old hermit lived all alone in an isolated cottage.	NA	NA	2	0.45742239989340305
444	100	1	206	Filler	He became so suspicious that he hired a private investigator.	NA	NA	1	1.9577712998725474
444	101	1	152	Filler	Women in the workplace often faced physical and verbal harassment.	NA	NA	2	0.38503240002319217
444	102	1	159	SemCrit	Claiming two wrongs make a right is a common facility.	NA	NA	1	2.567333099897951
444	103	1	132	SemCrit	The devout Christian girl travelled to India as a mercenary.	NA	NA	1	0.42698360001668334
444	104	1	76	Filler	When taking medication, always be careful to follow the prescription.	NA	NA	1	4.075892500113696
444	105	1	25	GoodExp	When the car exploded, the burning plastic emitted toxic fumes.	NA	NA	1	7.175902199931443
444	106	1	7	Filler	The terrorists threatened to kill all of the frightened hostages.	NA	NA	1	6.817747300025076
444	107	1	226	Filler	Gin and vermouth are the main ingredients in a martini.	Is wine the cocktail's main ingredient? 	No	2	1.8477027998305857
444	108	1	22	GoodExp	She woke up crying and shaking after a horrible nightmare.	NA	NA	1	0.40498579991981387
444	109	1	278	Filler	Leftovers keep longer if you store them in the refrigerator.	NA	NA	2	1.6579303997568786
444	110	1	65	Sem	Senator McCarthy accused the screenwriter of being a Communist fallacy.	NA	NA	1	1.6319045997224748
444	111	1	140	SemCrit	The ambassador who negotiated the deal was a skilled diploma.	NA	NA	1	0.41578759998083115
444	112	1	95	Synt	Like the IRS and FBI, CIA is another three-letter abbreviations.	NA	NA	1	7.496063800062984
444	113	1	46	Filler	The entire temple reverberated with the monks' steady rhythmic chanting.	NA	NA	1	0.9940476999618113
444	114	1	3	Filler	Repulsed by the city's defenses, they resorted to a siege.	NA	NA	1	13.825983100105077
444	115	1	141	SemCrit	The retiree found he soon tired of all this lesion.	NA	NA	1	7.475263400003314
444	116	1	57	Filler	She took a ballroom dancing class to learn the tango.	NA	NA	1	4.6875427002087235
444	117	1	82	Synt	Two important fluids in the body are blood and lymphs.	NA	NA	1	0.602796099614352
444	118	1	112	Synt	No light escapes the black hole once within this radii.	NA	NA	1	7.543350999709219
444	119	1	20	Filler	You should write all your appointments down in your calendar.	NA	NA	1	0.3283191001974046
444	120	1	163	Filler	The teacher's experience as a counselor gave her valuable insight.	NA	NA	1	17.10526840016246
444	121	1	119	Synt	He soon backed away, sensing he had crossed a boundaries.	Did he retreat? 	Yes	1	1.1218952997587621
444	122	1	67	Sem	The castle wall was adorned with a beautiful woven abbreviation.	NA	NA	2	7.8111096997745335
444	123	1	11	GoodExp	The value of practice and experience should never be underestimated.	Is practice worthwhile? 	Yes	1	1.1563103999942541
444	124	1	91	Synt	She was vaccinated so her body would developed an immunities.	NA	NA	1	1.4569998998194933
444	125	1	91	Filler	The company's juice was always fresh squeezed, never from concentrate.	NA	NA	1	13.73794800043106
444	126	1	280	Filler	The mother rocked the baby to sleep in a cradle.	Was the mother holding the baby? 	No	2	3.8578423000872135
444	127	1	8	Control	The upscale apartment was complete with all these modern amenities.	NA	NA	1	0.5110871996730566
444	128	1	70	Filler	The reported bribery was just the tip of the iceberg.	NA	NA	1	2.7390243001282215
444	129	1	37	GoodExp	Lupus is a disease that is very difficult to diagnose.	Does the sentence mention an illness? 	Yes	1	2.0176081000827253
444	130	1	176	Filler	To make tea, you should boil water in a kettle.	NA	NA	1	12.34929780010134
444	131	1	116	Synt	The detectives discovered the professor was poisoned with this arsenics.	Was the victim a professor? 	Yes	1	1.4748766999691725
444	132	1	143	Filler	A paper airplane flew across the classroom into the trashcan.	NA	NA	2	0.950180800165981
444	133	1	245	Filler	Pickpockets and scam artists can easily swindle a naive traveler.	NA	NA	1	8.43780509987846
444	134	1	137	Filler	The eagerly awaited package was delivered by a cheerful postman.	NA	NA	1	0.8613575999625027
444	135	1	260	Filler	Public accountants must pass a rigorous exam to become certified.	NA	NA	1	5.6056368998251855
444	136	1	165	Filler	She believed herself in love, but it was just infatuation.	NA	NA	1	1.054570300038904
444	137	1	221	Filler	GPS navigation relies on receiving radio signals from orbiting satellites.	NA	NA	1	0.5528072002343833
444	138	1	53	Sem	After the Holocaust, German history could never escape this antidote.	NA	NA	1	0.6461591999977827
444	139	1	121	Filler	We watched the setting sun and lingered together in the twilight.	NA	NA	1	0.7537793000228703
444	140	1	49	Sem	The scientist designed an experiment to test a controversial gazette.	NA	NA	1	6.121732600033283
444	141	1	170	Filler	Malls often offer many dining options in the food court.	Is it often difficult to find a place to eat in the mall? 	No	2	2.5959462001919746
444	142	1	164	Filler	The missionary hoped that many local people would be converted.	NA	NA	1	0.5349047002382576
444	143	1	199	Filler	I found her fascination with the deaths just plain morbid.	NA	NA	2	13.405905299820006
444	144	1	139	Filler	The hotel bathroom had little bottles of shampoo and conditioner.	NA	NA	1	10.245471500325948
444	145	1	81	Synt	The lecherous satyr chased after a beautiful lithe wood nymphs.	NA	NA	1	1.8545686001889408
444	146	1	273	Filler	Hot ash and lava spewed from the violently erupting volcano.	Does the sentence mention lava?	Yes	1	2.9698093999177217
444	147	1	123	Filler	The public swimming pool was carefully supervised by a lifeguard.	NA	NA	1	1.5427537998184562
444	148	1	7	Control	Clownfish have evolved invulnerability to the poison tentacles of anemones.	Are the fish specially adapted? 	Yes	1	1.5346584003418684
444	149	1	86	Synt	The child made a caterpillar from an old egg cartons.	NA	NA	1	3.8223358001559973
444	150	1	108	Filler	Gossip about the celebrity scandal was paraded through the tabloids.	NA	NA	1	43.80100650014356
444	151	1	108	Synt	Soda cans and tin foil are both made of aluminums.	NA	NA	2	0.3590271999128163
444	152	1	48	Sem	The sermon denounced pride and extolled the virtue of alumni.	NA	NA	1	0.4469788996502757
444	153	1	13	GoodExp	He was in charge of sending out the wedding invitations.	NA	NA	1	2.200284299906343
444	154	1	28	Control	The king knelt to be crowned at an official coronation.	NA	NA	2	3.99989159964025
444	155	1	21	Control	An intense tension headache can be mistaken for a migraine.	NA	NA	1	5.234898899681866
444	156	1	233	Filler	The skilled surgeon sliced through the flesh with unerring precision.	NA	NA	1	9.541113200131804
444	157	1	90	Filler	The royal guards threw the prisoner into the castle dungeon.	NA	NA	2	12.28067129990086
444	158	1	103	Synt	Old car engines mixed fuel and air in a carburetors.	NA	NA	1	1.105214400216937
444	159	1	33	Control	Blinking causes a momentary pupil contraction followed by a dilation.	NA	NA	2	7.823876400012523
444	160	1	68	Filler	The most popular casino card games are poker and blackjack.	Does the sentence mention slots? 	No	2	1.4476958001032472
444	161	1	24	Control	The child wore a glittery crown with a pink rhinestone.	NA	NA	1	6.881331500131637
444	162	1	107	Filler	The nonconformist despised fashion and never cared about his reputation.	NA	NA	1	2.5602845000103116
444	163	1	24	Filler	The king's court was filled with scandal and political intrigue.	NA	NA	1	0.35589150013402104
444	164	1	40	GoodExp	The audio editing software was available as a free download.	NA	NA	1	7.164555000141263
444	165	1	36	Control	The vicious cyclone tragically caused many deaths and much destruction.	NA	NA	1	4.5908569996245205
444	166	1	148	Filler	He was frightened by the woman's sudden anger and hostility.	NA	NA	1	2.5620669000782073
444	167	1	177	Filler	Smoking tobacco greatly increases the risk of developing lung cancer.	NA	NA	2	10.687234399840236
444	168	1	11	Control	Up on the tree branch perched a bright red cardinal.	NA	NA	1	2.692377499770373
444	169	1	151	Filler	The sky lit up with sparkling explosions and shimmering sparks.	NA	NA	1	3.1418051002547145
444	170	1	39	Control	Rupert Murdoch is the owner of a vast media empire.	NA	NA	1	3.6428020000457764
444	171	1	88	Filler	They started a viral marketing campaign to increase their publicity.	NA	NA	1	24.255116099957377
444	172	1	267	Filler	After seeing my opponent's trophy room, I felt rather intimidated.	Was my opponent accomplished? 	Yes	1	1.8239667997695506
444	173	1	18	GoodExp	The sociologist investigated how status interacted with ethnicity and gender.	NA	NA	2	2.5375903001986444
444	174	1	136	Filler	The insensitive paparazzi turned the singer's suffering into a spectacle.	NA	NA	2	1.6938020000234246
444	175	1	157	Filler	The spy hoped nobody would recognize her through her disguise.	NA	NA	1	0.7231156001798809
444	176	1	150	SemCrit	Two common semi-aquatic rodents are a beaver and a musket.	NA	NA	2	7.436137500219047
444	177	1	1	GoodExp	The mysterious murders crippled the community with fear and paranoia.	NA	NA	1	0.4083643998019397
444	178	1	118	Synt	Romeo longingly admired Juliet as she stood on this balconies.	NA	NA	1	0.35733089968562126
444	179	1	149	SemCrit	The soldier rammed gunpowder down the barrel of a muskrat.	NA	NA	1	0.42959920037537813
444	180	1	238	Filler	It is cliche to say teenagers think they are invincible.	NA	NA	1	6.3858929998241365
444	181	1	146	SemCrit	That grenade explodes stronger than a stick of this dynasty.	NA	NA	1	5.945879700127989
444	182	1	33	Filler	Since blogging's inception, people have predicted the death of journalism.	NA	NA	1	3.876761400140822
444	183	1	31	Filler	A shimmering pearl lay on the shell of the oyster.	NA	NA	1	4.291664199903607
444	184	1	244	Filler	Years after the murder, the case remains shrouded in mystery.	NA	NA	2	3.046355899889022
444	185	1	66	Filler	FDR delivered many "fireside chats," which were informal radio broadcasts.	NA	NA	2	2.4759227000176907
444	186	1	17	Filler	Regulating interstate trade is a job of the federal government.	NA	NA	1	1.813865500036627
444	187	1	157	SemCrit	Considering my previous experiences, I had a rather low expedition.	NA	NA	2	1.4044261001981795
444	188	1	279	Filler	Although the rules are flexible, the deadlines must be met.	NA	NA	1	7.809788899961859
444	189	1	253	Filler	The imperialistic conquerors viewed the local people as lawless savages.	NA	NA	1	2.7713874001055956
444	190	1	175	Filler	The bridesmaids happily vied to catch the bride's wedding bouquet.	NA	NA	1	0.4422866995446384
444	191	1	80	Filler	During industrialization, many moved to cities to work in factories.	Were the factories located in cities? 	Yes	1	3.343644400127232
444	192	1	120	Synt	Capture or kill the wanted criminal to collect a bounties.	NA	NA	1	7.015543600078672
444	193	1	187	Filler	He could never get enough sleep because of his insomnia.	NA	NA	1	0.9435047996230423
444	194	1	16	Control	The dentist congratulated me on not having a single cavity.	NA	NA	2	0.3644967000000179
444	195	1	45	Filler	Alcatraz Island was famous for housing a high security penitentiary.	NA	NA	2	3.148512199986726
444	196	1	16	GoodExp	The man shaved away his stubble with a disposable razor.	Was the man shaving? 	Yes	1	1.1360704996623099
444	197	1	202	Filler	Friends gathered to honor the memory of the dearly departed.	NA	NA	2	9.964429799932986
444	198	1	243	Filler	He hoped his research would lead to many practical applications.	Was his invention ready for consumers? 	No	2	4.486296100076288
444	199	1	34	Control	The bleach is too concentrated and requires a one-in-five dilution.	NA	NA	1	0.4235455999150872
444	200	1	64	Filler	Movie theaters usually give discounts for children, students, and seniors.	NA	NA	1	0.8944945000112057
444	201	1	22	Filler	The magnificent roaring sea made him feel small and insignificant.	NA	NA	1	3.45146800018847
444	202	1	19	GoodExp	Because the dictator was feared, no protests ever took place.	NA	NA	1	1.7580523998476565
444	203	1	67	Filler	Even after being caught, the cold-blooded killer showed no remorse.	NA	NA	1	3.7891305997036397
444	204	1	21	Filler	The flower vase shattered when it fell off the shelf.	NA	NA	1	3.9190390002913773
444	205	1	43	Filler	The Pantheon in Rome is a marvel of ancient architecture.	NA	NA	2	2.906900499947369
444	206	1	184	Filler	Many could not find bread because of the flour shortage.	NA	NA	1	0.28447659965604544
444	207	1	140	Filler	Many people drink coffee for a daily dose of caffeine.	NA	NA	2	3.83145899977535
444	208	1	117	Synt	The cheapest lunchmeat at this grocery store is this baloneys.	NA	NA	1	6.211722100153565
444	209	1	141	Filler	Surrounded by impassable mountains, the indigenous community was completely isolated.	NA	NA	1	5.633958499878645
444	210	1	210	Filler	Ambush, sabotage, and retreat are essential tactics in guerilla warfare.	NA	NA	2	9.867155800107867
444	211	1	131	Filler	Witnessing war, rape, or physical abuse can be extremely traumatic.	NA	NA	1	2.594126799609512
444	212	1	117	Filler	The flood victims were airlifted to safety by rescue helicopters.	NA	NA	2	6.877088500186801
444	213	1	35	Control	The whining alarm shut off, finally silencing this annoying distraction.	NA	NA	1	3.8186977999284863
444	214	1	142	Filler	Olive oil and balsamic vinegar make a great salad dressing.	NA	NA	1	2.29131789971143
444	215	1	110	Synt	The printer needed more paper and a new ink cartridges.	NA	NA	2	16.931223699823022
444	216	1	94	Synt	The goddess refused to be bested by a mere mortals.	NA	NA	1	13.092755800113082
444	217	1	102	Filler	Avocados, onions, tomatoes, lime, and cilantro make the perfect guacamole.	NA	NA	1	9.805714800022542
444	218	1	70	Sem	The rice was spiced with a pinch of that message.	NA	NA	1	4.237236300017685
444	219	1	26	Filler	Every day at lunch she ordered a hamburger or cheeseburger.	Does the sentence mention food? 	Yes	1	1.4652073998004198
444	220	1	150	Filler	The hymn was accompanied by the church's old pipe organ.	NA	NA	1	0.23777089966461062
444	221	1	58	Sem	"It's alive!" he cackled as he animated this monster bounty.	NA	NA	1	0.3597778002731502
444	222	1	149	Filler	At the movie's climax, the hero finally battles his nemesis.	Is the climactic scene a fight? 	Yes	1	2.4000253002159297
444	223	1	228	Filler	If it is too sunny, you should close the curtains.	NA	NA	1	5.9813493001274765
444	224	1	240	Filler	She knew the deadline was approaching, but was still procrastinating.	NA	NA	1	1.3670133999548852
444	225	1	123	SemCrit	A syllogism is a common form of a deductive inferno.	NA	NA	1	14.923575300257653
444	226	1	29	GoodExp	The poachers want to sell the tusks of these elephants.	NA	NA	1	23.817099899984896
444	227	1	26	Control	His office is down at the end of this corridor.	NA	NA	1	0.4396102000027895
444	228	1	11	Filler	The report's aims were briefly outlined in the opening paragraph.	NA	NA	1	5.129305999726057
444	229	1	144	Filler	She worked at the nearby grocery store as a cashier.	NA	NA	2	3.680155800189823
444	230	1	271	Filler	The cause of the helicopter crash was a mechanical malfunction.	NA	NA	1	0.36012359987944365
444	231	1	220	Filler	Despite my occasional jealousy, I never wanted our roles reversed.	NA	NA	1	12.722424899693578
444	232	1	215	Filler	Although the auditorium is modern, it has quite poor acoustics.	NA	NA	1	6.236336499918252
444	233	1	38	Control	One window on the dilapidated house was missing a shutter.	NA	NA	1	3.524850099813193
444	234	1	2	Control	The woman brought her sick pet dog to a veterinarian.	NA	NA	2	4.686207599937916
444	235	1	50	Sem	Use Pythagoras' theorem to find the length of a cavalry.	NA	NA	1	7.758413000032306
444	236	1	1	Filler	The district attorney did not have enough evidence to prosecute.	NA	NA	2	0.3547018999233842
444	237	1	19	Control	Her grandmother's pennies inspired her to start a coin collection.	Does the sentence mention a grandmother? 	Yes	1	1.3803439997136593
444	238	1	128	Filler	The judge ordered the audience to stop disrupting the proceedings.	NA	NA	2	12.313933399971575
444	239	1	97	Filler	A pessimistic prediction can quite often become a self-fulfilling prophecy.	NA	NA	1	2.142441200092435
444	240	1	166	Filler	Children should never use lighters or fireworks without adult supervision.	NA	NA	1	1.6931358999572694
444	241	1	259	Filler	Maintaining a healthy weight requires a good diet and exercise.	NA	NA	2	1.0027634999714792
444	242	1	19	Filler	The old abandoned house was filled with dust and cobwebs.	NA	NA	1	0.7340461001731455
444	243	1	204	Filler	The student raced to finish the paper before the deadline.	NA	NA	1	4.612040500156581
444	244	1	92	Filler	After the important deal fell through, the company went bankrupt.	NA	NA	1	1.2943005003035069
444	245	1	79	Sem	The poor stayed poor because of this limited upward spinster.	NA	NA	1	0.43887339998036623
444	246	1	203	Filler	A society ruled or dominated by women is a matriarchy.	NA	NA	2	3.5132678002119064
444	247	1	54	Filler	The bodyguard chased after the fan at the rock concert.	NA	NA	2	1.6448032995685935
444	248	1	89	Synt	Candidates must be citizens, but that is the only stipulations.	NA	NA	1	0.35807000007480383
444	249	1	82	Filler	The soldier had been a waitress before she was recruited.	NA	NA	2	10.229053900111467
444	250	1	18	Control	The monk sat quietly and fell into a deep meditation.	NA	NA	2	0.2285587997175753
444	251	1	60	Sem	The afternoon showing cost less because it was a sentiment.	Was the show less expensive?  	Yes	1	1.8792980001308024
444	252	1	29	Control	The moth attracted a mate by releasing a potent pheromone.	NA	NA	2	3.4625975000672042
444	253	1	6	Filler	The bird warbled a cheerful tune ending in a trill.	NA	NA	1	3.2294389000162482
444	254	1	12	Control	There is a beanbag toss game booth at this carnival.	NA	NA	2	0.4653571001254022
444	255	1	34	Filler	Police arrested the drunk driver and revoked his driver's license.	NA	NA	2	2.242400699760765
444	256	1	235	Filler	The practice of yoga can make your body more flexible.	NA	NA	2	7.0749766998924315
444	257	1	50	Filler	Growing vegetables for the farmer's market can be very profitable.	Does the sentence mention grocery stores? 	No	2	1.9722343003377318
444	258	1	18	Filler	You can make positive change if you take the initiative.	NA	NA	2	16.176210700068623
444	259	1	40	Filler	Their refusal to hire a black waitress was blatant racism.	NA	NA	1	3.2180315000005066
444	260	1	63	Filler	Without painkillers, the agony from her injury was utterly unbearable.	NA	NA	2	4.216369700152427
444	261	1	236	Filler	The public drinking water supply was tested regularly for contaminants.	NA	NA	1	1.958621199708432
444	262	1	230	Filler	Despite their creative freedoms, film directors ultimately answer to producers.	NA	NA	2	9.357263000216335
444	263	1	10	Filler	The old farmer plowed the corn field with a tractor.	NA	NA	2	2.829080699943006
444	264	1	252	Filler	In comparison to her uptight brother, she was quite mellow.	NA	NA	2	11.87605750001967
444	265	1	156	SemCrit	To protect herself from the sun, she carried a parasite.	NA	NA	1	1.5729819000698626
444	266	1	4	GoodExp	He was rude and blunt, but he was never dishonest.	NA	NA	1	2.0522675001993775
444	267	1	74	Filler	Of the politicians present, the governor was the most prominent.	NA	NA	2	9.53120269998908
444	268	1	64	Sem	The hostess greeted her guests with a light social escalator.	NA	NA	2	7.278100700117648
444	269	1	63	Sem	Feudal lords lived off the labor of an oppressed travesty.	Does the sentence mention medieval clergy? 	No	2	1.6343105002306402
