subj	order	list	item	condition	sentence	question	correct_answer	response
555	29	4	272	Filler	A nobleman traveled to distant lands in search of adventure.	NA	NA	3	1.6374209998175502
555	30	4	199	Filler	I found her fascination with the deaths just plain morbid.	Was she intrigued by the deaths?  	Yes	3	1.5089924996718764
555	31	4	45	Filler	Alcatraz Island was famous for housing a high security penitentiary.	Does the sentence mention an island resort? 	No	3	3.4746068003587425
555	32	4	9	Sem	The flooded river fertilized the fields with a rich juggler.	NA	NA	3	3.1436441000550985
555	33	4	148	Filler	He was frightened by the woman's sudden anger and hostility.	NA	NA	3	1.4551711003296077
555	34	4	66	Filler	FDR delivered many "fireside chats," which were informal radio broadcasts.	NA	NA	3	1.8338501998223364
555	35	4	61	Synt	Apply this eyeliner and brush your lashes with this mascaras.	NA	NA	3	2.179861200042069
555	36	4	90	Filler	The royal guards threw the prisoner into the castle dungeon.	NA	NA	3	1.9434090997092426
555	37	4	11	Filler	The report's aims were briefly outlined in the opening paragraph.	NA	NA	3	1.453058899845928
555	38	4	263	Filler	Both political parties accused each other of obstruction and partisanship.	Does the sentence mention a lawyer?	No	3	1.1819338002242148
555	39	4	120	Filler	The gambler had lost lots of money at this casino.	NA	NA	3	0.4836450000293553
555	40	4	44	Synt	The pseudoscience of inferring personality from skull measurements is phrenologies.	NA	NA	3	1.2629399001598358
555	41	4	57	Synt	The three kings bore gifts of gold, myrrh, and frankincenses.	Were the gifts brought by women? 	No	3	0.5769164999946952
555	42	4	21	Sem	An intense tension headache can be mistaken for an empire.	NA	NA	3	1.8464678996242583
555	43	4	106	Filler	The manager worked to cut out waste and increase efficiency.	NA	NA	3	3.8473978000693023
555	44	4	195	Filler	This restaurant is popular, but I think it is overrated.	NA	NA	3	3.343037800397724
555	45	4	144	Filler	She worked at the nearby grocery store as a cashier.	NA	NA	3	0.8339529000222683
555	46	4	188	Filler	He heated up a bowl of soup in the microwave.	NA	NA	3	3.954370600171387
555	47	4	14	GoodExp	The evil villain secretly concocted a diabolical and convoluted scheme.	Was the plot a secret? 	Yes	3	1.1812248001806438
555	48	4	78	Filler	The cowboy fired off all six rounds in his revolver.	Did the cowboy use all the bullets? 	Yes	3	3.9162329002283514
555	49	4	134	Control	Once Faust signed, he was doomed to this eternal damnation.	NA	NA	3	6.445541399996728
555	50	4	262	Filler	The shopper tried on the new outfit and was pleased.	NA	NA	3	6.107815100345761
555	51	4	107	Filler	The nonconformist despised fashion and never cared about his reputation.	NA	NA	3	1.0559795000590384
555	52	4	4	Sem	Mediators prevented the dispute from escalating into a violent muskrat.	NA	NA	3	2.47928879968822
555	53	4	17	Sem	After my root canal the dentist prescribed a pain balcony.	NA	NA	3	2.0658777002245188
555	54	4	80	Filler	During industrialization, many moved to cities to work in factories.	NA	NA	3	3.3268531002104282
555	55	4	87	Filler	Reading regularly is the best way to improve your vocabulary.	Is writing the best way to learn new words? 	No	3	1.7378607001155615
555	56	4	155	Filler	Wearing shoes that don't fit will give you a blister.	Does the sentence mention socks? 	No	3	0.9781212997622788
555	57	4	187	Filler	He could never get enough sleep because of his insomnia.	NA	NA	3	0.7000611997209489
555	58	4	280	Filler	The mother rocked the baby to sleep in a cradle.	NA	NA	3	2.7463618996553123
555	59	4	26	GoodExp	She needed to buy detergent so she could do laundry.	NA	NA	3	3.3487604004330933
555	60	4	11	Sem	Up on the tree branch perched a bright red masquerade.	NA	NA	3	4.5906162997707725
555	61	4	218	Filler	After the housing market crashed, many homes were left vacant.	NA	NA	3	2.4078957000747323
555	62	4	4	GoodExp	He was rude and blunt, but he was never dishonest.	Was he polite? 	No	3	3.487162100151181
555	63	4	245	Filler	Pickpockets and scam artists can easily swindle a naive traveler.	NA	NA	3	1.5667373002506793
555	64	4	226	Filler	Gin and vermouth are the main ingredients in a martini.	Is wine the cocktail's main ingredient? 	No	3	2.073712700046599
555	65	4	131	Filler	Witnessing war, rape, or physical abuse can be extremely traumatic.	NA	NA	3	1.9759638998657465
555	66	4	26	Sem	His office is down at the end of this arsenic.	NA	NA	3	3.7769820000976324
555	67	4	279	Filler	Although the rules are flexible, the deadlines must be met.	Are the regulations very strict? 	No	3	0.4802401000633836
555	68	4	124	Control	The napalm turned the luscious forest into a fiery inferno.	NA	NA	3	2.791195699945092
555	69	4	130	Filler	The athlete could not play because he tore a ligament.	NA	NA	3	1.1335562001913786
555	70	4	83	SemCrit	The circus featured an acrobat, a clown, and a jugular.	NA	NA	3	1.6964237000793219
555	71	4	160	Filler	All the candidates campaigned intensely to secure their party's nomination.	NA	NA	3	4.549410699866712
555	72	4	13	GoodExp	He was in charge of sending out the wedding invitations.	NA	NA	3	0.8246800997294486
555	73	4	75	Filler	The gifted rapper was famous for his complex multisyllabic rhymes.	NA	NA	3	1.7413159003481269
555	74	4	60	Synt	The afternoon showing cost less because it was a matinees.	NA	NA	3	1.4732702001929283
555	75	4	81	SemCrit	The lecherous satyr chased after a beautiful lithe wood lymph.	NA	NA	3	0.5864984001964331
555	76	4	239	Filler	The rich old woman left her grandson a large inheritance.	Was her fortune left to her nephew? 	No	3	4.370489300228655
555	77	4	230	Filler	Despite their creative freedoms, film directors ultimately answer to producers.	NA	NA	3	1.0787994000129402
555	78	4	23	GoodExp	The reality show censored out the contestants' nudity and profanity.	NA	NA	3	0.6090199002064764
555	79	4	39	Filler	The museum's Egyptian exhibition included many intriguing ceremonial burial artifacts.	NA	NA	3	1.6213748003356159
555	80	4	9	Filler	The workers went on strike to demand better living conditions.	NA	NA	3	2.7215916998684406
555	81	4	140	Control	The ambassador who negotiated the deal was a skilled diplomat.	NA	NA	3	0.6032198001630604
555	82	4	158	Filler	The ill airplane passenger was aided by the flight attendant.	NA	NA	3	3.8222207999788225
555	83	4	154	Control	She scolded the child for running backwards up an escalator.	NA	NA	3	1.1458248998969793
555	84	4	42	Filler	The death of the store owner was tragic and senseless.	NA	NA	3	1.395095500163734
555	85	4	252	Filler	In comparison to her uptight brother, she was quite mellow.	NA	NA	3	6.021423299796879
555	86	4	141	Control	The retiree found he soon tired of all this leisure.	NA	NA	3	0.9140040995553136
555	87	4	92	Filler	After the important deal fell through, the company went bankrupt.	NA	NA	3	3.133978399913758
555	88	4	12	Filler	The sunrise was accompanied by the crowing of the rooster.	NA	NA	3	1.9005880998447537
555	89	4	159	Filler	The girl was heartbroken and distraught after her first breakup.	NA	NA	3	2.391524899750948
555	90	4	60	Filler	Because shampoo is a cosmetic, it is subject to regulation.	NA	NA	3	2.42447549989447
555	91	4	85	SemCrit	In the nineties, the Rugrats was a very popular carton.	NA	NA	3	0.6190912998281419
555	92	4	59	Filler	The math teacher wrote the problems up on the blackboard.	NA	NA	3	0.6343554998748004
555	93	4	5	Filler	He could no longer remember anything because of his amnesia.	NA	NA	3	2.251677999738604
555	94	4	76	Filler	When taking medication, always be careful to follow the prescription.	Should you follow the instructions when taking medicine? 	Yes	3	1.12627790030092
555	95	4	51	Filler	The woman was stubborn and refused to lose an argument.	NA	NA	3	3.3326022000983357
555	96	4	231	Filler	Technology raises questions that are not just practical but ethical.	NA	NA	3	1.3194953999482095
555	97	4	256	Filler	As the child stargazed, he dreamed of becoming an astronaut.	NA	NA	3	4.576254200190306
555	98	4	62	Synt	She danced with an elegant masked gentleman at that masquerades.	NA	NA	3	2.3034180998802185
555	99	4	11	GoodExp	The value of practice and experience should never be underestimated.	NA	NA	3	1.4150494998320937
555	100	4	156	Filler	Upon seeing the dead body, he pulled away in revulsion.	Was he disgusted by a rotting piece of fruit? 	No	3	1.0639722999185324
555	101	4	55	Filler	Apple pie filling is usually spiced with nutmeg and cinnamon.	Does the recipe include thyme? 	No	3	4.863716499879956
555	102	4	36	GoodExp	The shy and awkward boy was shunned by his classmates.	NA	NA	3	1.3392910999245942
555	103	4	35	GoodExp	The meaning of the poem was left open to interpretation.	NA	NA	3	3.1828457000665367
555	104	4	253	Filler	The imperialistic conquerors viewed the local people as lawless savages.	NA	NA	3	2.921761800069362
555	105	4	121	Control	The celebrating couple joyfully popped open a bottle of champagne.	NA	NA	3	4.663381699938327
555	106	4	8	Sem	The upscale apartment was complete with all these modern lymph.	NA	NA	3	0.5056446003727615
555	107	4	149	Control	The soldier rammed gunpowder down the barrel of a musket.	NA	NA	3	2.67361869988963
555	108	4	119	SemCrit	He soon backed away, sensing he had crossed a bounty.	NA	NA	3	2.390575800091028
555	109	4	276	Filler	He drank some alcohol to try to lessen his inhibitions.	NA	NA	3	3.7782148998230696
555	110	4	115	Filler	The filmmaker hoped to inform the public with the documentary.	NA	NA	3	2.0081446999683976
555	111	4	198	Filler	Law enforcement officials cannot search your home without a warrant.	Do the police need a warrant to search a house? 	Yes	3	0.720064400229603
555	112	4	2	Sem	The woman brought her sick pet dog to a carton.	NA	NA	3	10.584741900209337
555	113	4	274	Filler	The atomic bomb's explosion contaminated the area with dangerous radioactivity.	NA	NA	3	3.0280263000167906
555	114	4	186	Filler	Because of the bonfire incident, all the campers were punished.	NA	NA	3	0.8099938998930156
555	115	4	172	Filler	The protests were swiftly followed by a harsh government crackdown.	NA	NA	3	3.4425898999907076
555	116	4	126	Control	After she deceived her mother, she had a guilty conscience.	NA	NA	3	4.336911200080067
555	117	4	96	Filler	The doctor warned the medication could cause nausea and vomiting.	NA	NA	3	1.0710930000059307
555	118	4	196	Filler	The party was a complete failure, despite all the preparations.	NA	NA	3	1.8240311997942626
555	119	4	65	Synt	Senator McCarthy accused the screenwriter of being a Communist sympathizers.	NA	NA	3	9.980371200013906
555	120	4	78	Synt	Agriculture in this desert would be impossible without this irrigations.	NA	NA	3	3.3962802002206445
555	121	4	103	Filler	The old hermit lived all alone in an isolated cottage.	NA	NA	3	1.6708708996884525
555	122	4	106	SemCrit	The coach scolded the player for having a bad altitude.	NA	NA	3	3.2072125002741814
555	123	4	111	SemCrit	Marie Curie died of exposure to radiation from this radius.	NA	NA	3	5.758149500004947
555	124	4	268	Filler	Facebook has succeeded MySpace as the place for social networking.	NA	NA	3	11.622760800179094
555	125	4	50	Filler	Growing vegetables for the farmer's market can be very profitable.	Does the sentence mention grocery stores? 	No	3	5.346607900224626
555	126	4	24	Sem	The child wore a glittery crown with a pink captain.	NA	NA	3	3.9031897000968456
555	127	4	15	Filler	When my microwave died, I searched online for a replacement.	NA	NA	3	5.18719940027222
555	128	4	264	Filler	A lab assistant fainted because the room was too stuffy.	Did the assistant faint because there was blood? 	No	3	1.5211459998972714
555	129	4	124	Filler	The teacher asked the children's parents to volunteer as chaperones.	Did the teacher want the parents involved? 	Yes	3	0.8960600001737475
555	130	4	54	Synt	Despite technological advances, wars cannot be won without an infantries.	NA	NA	3	0.7688119998201728
555	131	4	257	Filler	To her coffee she added a package of artificial sweetener.	NA	NA	3	1.862007400020957
555	132	4	77	Filler	Those pearls are not real, but just a cheap imitation.	NA	NA	3	1.5266410997137427
555	133	4	165	Filler	She believed herself in love, but it was just infatuation.	NA	NA	3	2.860933399759233
555	134	4	41	Synt	The Caribbean cruise package includes this kayaking, and snorkeling excursions.	NA	NA	3	5.1851987997069955
555	135	4	30	Filler	Xenophobia is an unreasonable fear or hatred of all foreigners.	NA	NA	3	2.351170300040394
555	136	4	105	Filler	The air smelled of pine and the birds were chirping.	NA	NA	3	6.590068900026381
555	137	4	128	Control	The Big Dipper may perhaps be the most famous constellation.	NA	NA	3	2.8600472998805344
555	138	4	132	Control	The devout Christian girl travelled to India as a missionary.	NA	NA	3	0.42424269998446107
555	139	4	95	Filler	She wanted a green lawn and a white picket fence.	NA	NA	3	2.6812909999862313
555	140	4	58	Filler	During boarding, the gate agent will call passengers on standby.	NA	NA	3	4.233545400202274
555	141	4	174	Filler	At the airport they finally parted after exchanging tearful farewells.	NA	NA	3	3.470455900300294
555	142	4	251	Filler	Although the water was boiling, the pasta was not soft.	Was the water still cold? 	No	3	1.7680998998694122
555	143	4	146	Filler	Stagnant water is the perfect breeding ground for a mosquito.	NA	NA	3	4.689393800217658
555	144	4	38	GoodExp	Malnutrition results when the body does not get enough nutrients.	NA	NA	3	0.44941179966554046
555	145	4	229	Filler	The surgeon asked the nurse to hand him a scalpel.	NA	NA	3	0.7182605001144111
555	146	4	38	Filler	He felt the meeting was pointless, but attendance was mandatory.	NA	NA	3	1.015220600180328
555	147	4	138	Filler	The defiant young woman refused to become just another statistic.	NA	NA	3	1.1766548999585211
555	148	4	173	Filler	Because the snake is highly poisonous, it is brightly colored.	NA	NA	3	1.255824400112033
555	149	4	161	Filler	The guests dipped strawberries and bananas into the chocolate fondue.	NA	NA	3	2.496101699769497
555	150	4	37	GoodExp	Lupus is a disease that is very difficult to diagnose.	NA	NA	3	2.841179700102657
555	151	4	93	SemCrit	The mason built his own house of brick and mortal.	NA	NA	3	3.85665460024029
555	152	4	193	Filler	During the holiday season, many stores offer complimentary gift wrapping.	NA	NA	3	2.963523800019175
555	153	4	15	Sem	Pikemen can be an effective defense against a charging stipulation.	NA	NA	3	2.1832526000216603
555	154	4	8	GoodExp	The mermaid is a mythological creature that is half fish.	NA	NA	3	0.6128457002341747
555	155	4	39	GoodExp	This mission is critical, and completing it successfully is imperative.	NA	NA	3	2.1427949997596443
555	156	4	153	Control	Rather than reducing violence, the intervention just caused an escalation.	NA	NA	3	5.938130899798125
555	157	4	228	Filler	If it is too sunny, you should close the curtains.	NA	NA	3	3.6327451998367906
555	158	4	101	Filler	He slipped but luckily grabbed onto the handrail by reflex.	Did he lose his footing? 	Yes	3	2.220642799977213
555	159	4	129	Filler	Many women juggle a career, caring for children, and housekeeping.	NA	NA	3	3.2762418002821505
555	160	4	16	Filler	If you want concentrated broth, you should simmer it uncovered.	NA	NA	3	1.2232174999080598
555	161	4	25	Sem	The cause of death must be determined by a dynasty.	NA	NA	3	3.1257855999283493
555	162	4	71	Filler	The rogue state refused to participate in any international negotiations.	NA	NA	3	4.484758700244129
555	163	4	163	Filler	The teacher's experience as a counselor gave her valuable insight.	NA	NA	3	1.4934191000647843
555	164	4	151	Control	To make the car accelerate, press down on this pedal.	NA	NA	3	1.4319621003232896
555	165	4	189	Filler	The doctor carefully inspected the blood sample through a microscope.	NA	NA	3	2.4643235001713037
555	166	4	50	Synt	Use Pythagoras' theorem to find the length of a hypotenuses.	NA	NA	3	1.6129165003076196
555	167	4	271	Filler	The cause of the helicopter crash was a mechanical malfunction.	NA	NA	3	1.8845512997359037
555	168	4	115	SemCrit	Blackmail is just one of many weapons in this arsenic.	NA	NA	3	2.037518600001931
555	169	4	61	Filler	The groom joyfully carried his young bride over the threshold.	NA	NA	3	4.201791699975729
555	170	4	137	Control	She didn't answer the phone, so I left a message.	NA	NA	3	1.9143552002497017
555	171	4	46	Filler	The entire temple reverberated with the monks' steady rhythmic chanting.	NA	NA	3	3.875690700020641
555	172	4	206	Filler	He became so suspicious that he hired a private investigator.	NA	NA	3	1.9382847999222577
555	173	4	71	Synt	For lunch, she had brought tomato soup in a thermoses.	NA	NA	3	1.1065802997909486
555	174	4	3	Sem	The vintage wedding dress was big and required an inferno.	NA	NA	3	3.6928942003287375
555	175	4	160	Control	Don't call it a prison; call it a correctional facility.	NA	NA	3	2.3908584001474082
555	176	4	25	Filler	The radio transmission we thought was secure has been intercepted.	NA	NA	3	0.7120236000046134
555	177	4	203	Filler	A society ruled or dominated by women is a matriarchy.	NA	NA	3	1.3153919000178576
555	178	4	70	Filler	The reported bribery was just the tip of the iceberg.	NA	NA	3	1.1050227996893227
555	179	4	142	Filler	Olive oil and balsamic vinegar make a great salad dressing.	Does the sentence describe ranch dressing? 	No	3	1.3729149997234344
555	180	4	202	Filler	Friends gathered to honor the memory of the dearly departed.	NA	NA	3	2.7505775997415185
555	181	4	269	Filler	The scribe got tired after many hours of copying manuscripts.	NA	NA	3	3.190194799564779
555	182	4	213	Filler	The foreigner found it difficult to overcome the language barrier.	NA	NA	3	3.273233499843627
555	183	4	89	Filler	His attempt to sound grand just came off as pompous.	NA	NA	3	1.7806691997684538
555	184	4	182	Filler	You should be careful to speak respectfully to your superiors.	NA	NA	3	4.889388300012797
555	185	4	111	Filler	The child painstakingly knotted the laces on her new sneakers.	NA	NA	3	7.6049572001211345
555	186	4	143	Filler	A paper airplane flew across the classroom into the trashcan.	NA	NA	3	3.2672026995569468
555	187	4	121	Filler	We watched the setting sun and lingered together in the twilight.	NA	NA	3	6.230624299962074
555	188	4	147	Filler	The furniture designer aspired to make objects beautiful and functional.	Was the designer making clothing? 	No	3	5.447465000208467
555	189	4	150	Control	Two common semi-aquatic rodents are a beaver and a muskrat.	NA	NA	3	3.3647178998216987
555	190	4	117	Filler	The flood victims were airlifted to safety by rescue helicopters.	NA	NA	3	7.922748600132763
555	191	4	45	Synt	The casket was carried to the cemetery in a hearses.	Does the sentence mention a cemetery? 	Yes	3	4.4852300002239645
555	192	4	207	Filler	When drinking, you should have a sober driver previously designated.	NA	NA	3	7.207822499796748
555	193	4	237	Filler	After the tornado, it took days to restore the electricity.	NA	NA	3	0.6048473999835551
555	194	4	91	SemCrit	She was vaccinated so her body would developed a mutiny.	NA	NA	3	0.4870880004018545
555	195	4	103	SemCrit	Old car engines mixed fuel and air in a cabaret.	NA	NA	3	2.15904049994424
555	196	4	13	Filler	After being arrested for substance abuse, he voluntarily underwent rehabilitation.	NA	NA	3	2.2146903998218477
555	197	4	212	Filler	Grandmother baked some delicious cookies using her secret family recipe.	NA	NA	3	1.5052638999186456
555	198	4	28	Sem	The king knelt to be crowned at an official parasite.	NA	NA	3	1.3815939999185503
555	199	4	20	GoodExp	The caterpillar enters its cocoon and undergoes an amazing metamorphosis.	NA	NA	3	2.9081749003380537
555	200	4	57	Filler	She took a ballroom dancing class to learn the tango.	NA	NA	3	1.8691320000216365
555	201	4	191	Filler	The French doors opened out onto a large shaded terrace.	Did the doors open outwards? 	Yes	3	0.9987594997510314
555	202	4	59	Synt	This docile herbivorous aquatic mammal is known as a manatees.	NA	NA	3	0.6247000000439584
555	203	4	58	Synt	"It's alive!" he cackled as he animated this monster Frankensteins.	NA	NA	3	1.3866694997996092
555	204	4	98	Filler	The meek student was too intimidated to ask a question.	NA	NA	3	2.0760075002908707
555	205	4	258	Filler	Piercing and tattoo parlors should always keep their needles sterilized.	NA	NA	3	5.292948700021952
555	206	4	277	Filler	The toxic pollution was killing wildlife and ruining the environment.	NA	NA	3	3.33212749985978
555	207	4	100	Filler	After a risky surgery, the man unfortunately died of complications.	NA	NA	3	3.943788700271398
555	208	4	248	Filler	Scientists believe an asteroid impact is what killed the dinosaurs.	Do they think a volcanic eruption caused the extinctions? 	No	3	2.2147176996804774
555	209	4	82	SemCrit	Two important fluids in the body are blood and nymph.	Is the sentence about bones? 	No	3	1.6787025998346508
555	210	4	158	Control	Blizzards are deadly hazards for explorers on an arctic expedition.	Can the weather be dangerous? 	Yes	3	1.0690016997978091
555	211	4	255	Filler	Halloween is a time to dress up in a costume.	NA	NA	3	2.8175820000469685
555	212	4	56	Synt	Medics cleaned and bandaged the wound to prevent an infections.	NA	NA	3	2.5118904002010822
555	213	4	91	Filler	The company's juice was always fresh squeezed, never from concentrate.	NA	NA	3	0.9058785000815988
555	214	4	145	Filler	The stock exchange was host to millions of financial transactions.	Does the sentence mention an office building? 	No	3	2.2687250999733806
555	215	4	233	Filler	The skilled surgeon sliced through the flesh with unerring precision.	NA	NA	3	2.4107904001139104
555	216	4	176	Filler	To make tea, you should boil water in a kettle.	NA	NA	3	5.100756500381976
555	217	4	178	Filler	She was too young to be in a serious relationship.	NA	NA	3	2.6646269001066685
555	218	4	125	Filler	As death approached, the patient's breathing became shallow and irregular.	NA	NA	3	4.331925000064075
555	219	4	127	Control	The sudden change in protocol had caused all this consternation.	NA	NA	3	0.9859511000104249
555	220	4	28	Filler	He preferred reading biographies and historical accounts to reading novels.	NA	NA	3	3.5868358998559415
555	221	4	23	Filler	The artist carved a block of marble into a sculpture.	NA	NA	3	1.935819999780506
555	222	4	97	SemCrit	A lolcat is a cat photograph with a humorous ungrammatical captain.	NA	NA	3	3.567816700320691
555	223	4	22	GoodExp	She woke up crying and shaking after a horrible nightmare.	NA	NA	3	3.083003200124949
555	224	4	10	Filler	The old farmer plowed the corn field with a tractor.	NA	NA	3	4.074622699990869
555	225	4	114	SemCrit	The Christmas tree was decorated with many shining glass armaments.	Were the decorations for Halloween? 	No	3	1.997547300066799
555	226	4	246	Filler	When the parents went out together they hired a babysitter.	NA	NA	3	1.9210840999148786
555	227	4	168	Filler	The detective dusted the glass to reveal the criminal's fingerprint.	NA	NA	3	2.255143499933183
555	228	4	19	Filler	The old abandoned house was filled with dust and cobwebs.	NA	NA	3	2.5627212999388576
555	229	4	18	Sem	The monk sat quietly and fell into a deep arsenal.	NA	NA	3	1.0487118996679783
555	230	4	270	Filler	She liked the magazine so she bought a monthly subscription.	Did she subscribe to a newspaper? 	No	3	1.0403193002566695
555	231	4	55	Synt	"Oh, yes, very impressive," she drawled with a sarcastic inflections.	Did she speak quickly?	No	3	3.727958200033754
555	232	4	65	Filler	The most popular pastas are macaroni, vermicelli, lasagna, and spaghetti.	NA	NA	3	0.7842107000760734
555	233	4	95	SemCrit	Like the IRS and FBI, CIA is another three-letter inebriation.	NA	NA	3	3.275541499722749
555	234	4	141	Filler	Surrounded by impassable mountains, the indigenous community was completely isolated.	NA	NA	3	2.8357929000630975
555	235	4	29	GoodExp	The poachers want to sell the tusks of these elephants.	Are they trying to sell animal furs? 	No	3	8.78548609977588
555	236	4	85	Filler	You must come to court if you have been summoned.	Does the sentence mention a requirement? 	Yes	3	0.5023705000057817
555	237	4	22	Filler	The magnificent roaring sea made him feel small and insignificant.	NA	NA	3	0.2899333001114428
555	238	4	166	Filler	Children should never use lighters or fireworks without adult supervision.	NA	NA	3	1.5099444999359548
555	239	4	127	Filler	The runner ran every day to train for the marathon.	NA	NA	3	2.0988493002951145
555	240	4	99	SemCrit	The teacher taught that subtraction was the opposite of audition.	NA	NA	3	1.4799111001193523
555	241	4	31	Filler	A shimmering pearl lay on the shell of the oyster.	NA	NA	3	1.0750879999250174
555	242	4	278	Filler	Leftovers keep longer if you store them in the refrigerator.	NA	NA	3	1.1344039998948574
555	243	4	43	Filler	The Pantheon in Rome is a marvel of ancient architecture.	NA	NA	3	2.0807348000817
555	244	4	14	Sem	After hours of playing, the guitarist's fingertips developed a pasture.	NA	NA	3	5.983671199996024
555	245	4	94	SemCrit	The goddess refused to be bested by a mere mortar.	Was the deity okay with losing? 	No	3	6.215915899723768
555	246	4	133	Filler	Five milliliters and one teaspoon are, for practical purposes, equivalent.	Are ten milliliters and two teaspoons the same? 	Yes	3	4.963531699962914
555	247	4	36	Sem	The vicious cyclone tragically caused many deaths and much aluminum.	NA	NA	3	0.8607709002681077
555	248	4	267	Filler	After seeing my opponent's trophy room, I felt rather intimidated.	NA	NA	3	0.6937297000549734
555	249	4	70	Synt	The rice was spiced with a pinch of that saffrons.	Was the rice served plain? 	No	3	0.6473365998826921
555	250	4	68	Filler	The most popular casino card games are poker and blackjack.	NA	NA	3	0.5033007999882102
555	251	4	144	Control	He idolized her, and her self-esteem benefited from this adoration.	NA	NA	3	0.5365651999600232
555	252	4	14	Filler	A terrifying three-headed dog guarded the entrance to the underworld.	NA	NA	3	0.4336243998259306
555	253	4	208	Filler	The couple drank coffee and exchanged lively and playful banter.	NA	NA	3	0.24283030023798347
555	254	4	224	Filler	Her beauty enthralled him and filled his heart with longing.	NA	NA	3	0.6745015000924468
555	255	4	219	Filler	The victims of the industrial accident angrily demanded adequate compensation.	NA	NA	3	1.2944966000504792
555	256	4	167	Filler	Supposedly, scrubbing your face with oatmeal is great for exfoliation.	NA	NA	3	2.9576956001110375
555	257	4	42	Synt	He had sprinted and was still sweating from this exertions.	NA	NA	3	0.563672499731183
555	258	4	88	Filler	They started a viral marketing campaign to increase their publicity.	NA	NA	3	0.5240655997768044
555	259	4	152	Control	"He loves me?" she wondered, plucking off a daisy petal.	NA	NA	3	0.4482530001550913
555	260	4	77	Synt	"Can't you just be quiet?" she snapped revealing her irritations.	NA	NA	3	0.3205808000639081
555	261	4	20	Sem	The teacher interrupted his sentence to make a grammatical mercenary.	NA	NA	3	0.5165214999578893
555	262	4	38	Sem	One window on the dilapidated house was missing a migrant.	NA	NA	3	0.4688538000918925
555	263	4	24	GoodExp	Desperately, the skydiver pulled the cord for his backup parachute.	NA	NA	3	0.49678600020706654
555	264	4	221	Filler	GPS navigation relies on receiving radio signals from orbiting satellites.	NA	NA	3	1.489440499804914
555	265	4	48	Synt	The sermon denounced pride and extolled the virtue of humilities.	Did the sermon mention pride? 	Yes	3	1.2443371997214854
555	266	4	4	Filler	The ruling regime did not tolerate any real political opposition.	NA	NA	3	1.0612968998029828
