ItemNum,Condition,Sentence,Question,Answer
131,Sem,A soldier fighting for the highest bidder is an apostrophe.,Is the fighter motivated by nationalism? ,No
132,Sem,The devout Christian girl travelled to India as an admission.,Was the traveller religious? ,Yes
133,Sem,That white dog with little black spots is an umpire.,Was the creature a canine? ,Yes
134,Sem,"Once Faust signed, he was doomed to this eternal inference.",Was his fate permanent? ,Yes
135,Sem,The crowded urban neighborhood had a very high population missionary.,Was the district basically deserted? ,No
136,Sem,I control my fate; I don't have a predetermined embargo.,Am I a victim of fortune? ,No
137,Sem,"She didn't answer the phone, so I left a tapestry.",Did she pick up? ,No
138,Sem,My back was so tense I really needed a cartridge.,Was my problem stiff joints? ,No
139,Sem,The president of the college handed each graduate an infection.,Was the president at the graduation? ,Yes
140,Sem,The ambassador who negotiated the deal was a skilled constellation.,Was the bargain worked out by a senator?  ,No
141,Sem,The retiree found he soon tired of all this phonology.,Did he retire because he was tired? ,No
142,Sem,His personality was dramatically altered after acquiring this brain rhino.,Was the alteration noticeable? ,Yes
143,Sem,The low intensity workout compensated by having a long Frankenstein.,Was the exercise intense? ,No
144,Sem,"He idolized her, and her self-esteem benefited from this synthesizer.",Did he like her? ,Yes
145,Sem,Yuan emperors were Mongolian because Kublai Khan founded this inebriation.,Were the rulers Mongolian? ,Yes
146,Sem,That grenade explodes stronger than a stick of this infamy.,Is that an explosive weapon? ,Yes
147,Sem,"The contraction for ""it is"" needs to include a jugular.","Is ""it's"" a valid contraction? ",Yes
148,Sem,The doomsday preacher urged repentance and warned of a pharaoh.,Was the preacher advocating temperance? ,No
149,Sem,The soldier rammed gunpowder down the barrel of a distraction.,Did the soldier have a gun? ,Yes
150,Sem,Two common semi-aquatic rodents are a beaver and a collection.,Are these animals fairly common? ,Yes
151,Sem,"To make the car accelerate, press down on this immorality.",Will doing this stop the car? ,No
152,Sem,"""He loves me?"" she wondered, plucking off a daisy coroner.",Was she certain that he loved her?,No
153,Sem,"Rather than reducing violence, the intervention just caused a pedal.",Did the intervention work as planned? ,No
154,Sem,She scolded the child for running backwards up an apocalypse.,Did the woman scold the child? ,Yes
155,Sem,"Intestinal problems may indicate a tapeworm, a type of density.",Can worms cause digestion problems? ,Yes
156,Sem,"To protect herself from the sun, she carried a physicist.",Was she trying to avoid getting wet? ,No
157,Sem,"Considering my previous experiences, I had a rather low diplomat.",Did I have any past experience? ,Yes
158,Sem,Blizzards are deadly hazards for explorers on an arctic sympathizer.,Can the weather be dangerous? ,Yes
159,Sem,Claiming two wrongs make a right is a common excursion.,Do people make this claim often? ,Yes
160,Sem,Don't call it a prison; call it a correctional mortal.,Is it a theme park? ,No
1,Synt,Someone who has fought in a war is a veterans.,Does the sentence mention a war? ,Yes
2,Synt,The woman brought her sick pet dog to a veterinarians.,Was the animal a canine? ,Yes
3,Synt,The vintage wedding dress was big and required an alterations.,Was the gown too small? ,No
4,Synt,Mediators prevented the dispute from escalating into a violent altercations.,Was there a disagreement? ,Yes
5,Synt,The storyteller could turn any incident into an amusing anecdotes.,Does the sentence mention a storyteller? ,Yes
6,Synt,She saved him from the poison by administering an antidotes.,Did she save him by amputating? ,No
7,Synt,Clownfish have evolved invulnerability to the poison tentacles of anemone.,Are the fish specially adapted? ,Yes
8,Synt,The upscale apartment was complete with all these modern amenity.,Did the residence need an upgrade? ,No
9,Synt,The flooded river fertilized the fields with a rich sediments.,Did the river overflow its banks? ,Yes
10,Synt,Political corruption and economic hardship fueled a growing anti-government sentiments.,Were people increasingly pro-government? ,No
11,Synt,Up on the tree branch perched a bright red cardinals.,Does the sentence mention a tree? ,Yes
12,Synt,There is a beanbag toss game booth at this carnivals.,Were the beanbags for a game? ,Yes
13,Synt,The reagents reacted faster in the presence of a catalysts.,Was the reaction rate increased? ,Yes
14,Synt,"After hours of playing, the guitarist's fingertips developed a calluses.",Did the musician play the guitar? ,Yes
15,Synt,Pikemen can be an effective defense against a charging cavalries.,Does the sentence mention a fish? ,No
16,Synt,The dentist congratulated me on not having a single cavities.,Did the dentist scold me? ,No
17,Synt,After my root canal the dentist prescribed a pain medications.,Did the dentist write a prescription? ,Yes
18,Synt,The monk sat quietly and fell into a deep meditations.,Was the monk seated? ,Yes
19,Synt,Her grandmother's pennies inspired her to start a coin collections.,Does the sentence mention a grandmother? ,Yes
20,Synt,The teacher interrupted his sentence to make a grammatical corrections.,Was he interrupted by a fire alarm? ,No
21,Synt,An intense tension headache can be mistaken for a migraines.,Does the sentence mention a headache? ,Yes
22,Synt,Harvesting crops is often the job of a seasonal migrants.,Does the sentence mention a skyscraper? ,No
23,Synt,"The zoo had two giraffes, an elephant, and a rhinos.",Does the sentence mention a zebra? ,No
24,Synt,The child wore a glittery crown with a pink rhinestones.,Was the child wearing a top hat? ,No
25,Synt,The cause of death must be determined by a coroners.,Was the reason for the death already known? ,No
26,Synt,His office is down at the end of this corridors.,Does he have an office? ,Yes
27,Synt,Statisticians emphasize that causation is not implied by a correlations.,Does the sentence mention statistics? ,Yes
28,Synt,The king knelt to be crowned at an official coronations.,Was the monarch crowned while standing? ,No
29,Synt,The moth attracted a mate by releasing a potent pheromones.,Did the insect attract a mate? ,Yes
30,Synt,The archeologists found the mummy of a young Egyptian pharoahs.,Was the mummy discovered by a paleontologist? ,No
31,Synt,The student went to medical school to become a physicians.,Was the student a medical student? ,Yes
32,Synt,A new gravitational theory was proposed by an eminent physicists.,Was the new theory about psychology? ,No
33,Synt,Blinking causes a momentary pupil contraction followed by a dilations.,Does the sentence mention the iris? ,No
34,Synt,The bleach is too concentrated and requires a one-in-five dilutions.,Is the bleach too concentrated? ,Yes
35,Synt,"The whining alarm shut off, finally silencing this annoying distractions.",Was the alarm irritating? ,Yes
36,Synt,The vicious cyclone tragically caused many deaths and much destructions.,Were the deaths caused by the weather? ,Yes
37,Synt,"Disgusted, she pulled away from his touch with a shudders.",Was she grossed out?   ,Yes
38,Synt,One window on the dilapidated house was missing a shutters.,Was the house in ill repair? ,Yes
39,Synt,Rupert Murdoch is the owner of a vast media empires.,Does the sentence mention a writer? ,Yes
40,Synt,The baseball player felt cheated and swore at an umpires.,Was the player a tennis player? ,No
41,SemCrit,The Caribbean cruise package includes this kayakingâ and snorkeling exertion.,Is the cruise a Mediteranean cruise?,No
42,SemCrit,He had sprinted and was still sweating from this excursion.,Had he been lifting weights? ,No
43,SemCrit,The study of sounds in language is known as phrenology.,Does the sentence mention music? ,No
44,SemCrit,The pseudoscience of inferring personality from skull measurements is phonology.,Does the sentence mention palm reading? ,No
45,SemCrit,The casket was carried to the cemetery in a hearth.,Does the sentence mention a cemetery? ,Yes
46,SemCrit,"Each winter evening, the family gathers around a warm hearse.",Does the family gather berries? ,No
47,SemCrit,The heat felt even worse because of all this humility.,Was the warmth unpleasant? ,Yes
48,SemCrit,The sermon denounced pride and extolled the virtue of humidity.,Did the sermon mention pride? ,Yes
49,SemCrit,The scientist designed an experiment to test a controversial hypotenuse.,Did the scientist design a robot? ,No
50,SemCrit,Use Pythagoras' theorem to find the length of a hypothesis.,Does the sentence mention a theorem? ,Yes
51,SemCrit,The preacher believed drunkenness was the cause of much immortality.,Does the sentence mention cursing? ,No
52,SemCrit,The artist achieved eternal fame despite not seeking this immorality.,Was the artist's fame enduring? ,Yes
53,SemCrit,"After the Holocaust, German history could never escape this infantry.",Does the sentence mention atom bomb? ,No
54,SemCrit,"Despite technological advances, wars cannot be won without an infamy.",Has military technology improved? ,Yes
55,SemCrit,"""Oh, yes, very impressive,"" she drawled with a sarcastic infection.",Did she speak quickly?,No
56,SemCrit,Medics cleaned and bandaged the wound to prevent an inflection.,Did the medics suture the wound? ,No
57,SemCrit,"The three kings bore gifts of gold, myrrh, and Frankenstein.",Were the gifts brought by women? ,No
58,SemCrit,"""It's alive!"" he cackled as he animated this monster frankincense.",Does the sentence mention electricity?,No
59,SemCrit,This docile herbivorous aquatic mammal is known as a matinee.,Is the creature a mammal? ,Yes
60,SemCrit,The afternoon showing cost less because it was a manatee.,Was the show less expensive?  ,Yes
61,SemCrit,Apply this eyeliner and brush your lashes with this masquerade.,Does the sentence mention lipstick? ,No
62,SemCrit,She danced with an elegant masked gentleman at that mascara.,Did the man hide his face? ,Yes
63,SemCrit,Feudal lords lived off the labor of an oppressed pleasantry.,Does the sentence mention medieval clergy? ,No
64,SemCrit,The hostess greeted her guests with a light social peasantry.,Did the woman have guests? ,Yes
65,SemCrit,Senator McCarthy accused the screenwriter of being a Communist synthesizer.,Does the sentence mention a writer? ,Yes
66,SemCrit,The computer could read text aloud using a speech sympathizer.,Does the sentence mention a teacher? ,No
67,SemCrit,The castle wall was adorned with a beautiful woven travesty.,Was the decoration on the floor? ,No
68,SemCrit,He denounced the novel's film adaptation as a complete tapestry.,Did he recommend the movie? ,No
69,SemCrit,The ring held small diamonds set around this blue saffron.,Were there precious stones in the ring? ,Yes
70,SemCrit,The rice was spiced with a pinch of that sapphire.,Was the rice served plain? ,No
71,SemCrit,"For lunch, she had brought tomato soup in a thermal.",Did she bring her own lunch? ,Yes
72,SemCrit,The soaring eagle circled and glided upwards on a thermos.,Was the bird an ostrich? ,No
73,SemCrit,The student had his editorial published in a local gazelle.,Was the editorial published locally? ,Yes
74,SemCrit,The powerful cheetah sprinted in pursuit of a baby gazette.,Was the cheetah running? ,Yes
75,SemCrit,You cannot buy Cuban cigars because there is an embryo.,Do the unavailable items contain tobacco? ,Yes
76,SemCrit,Some controversial stem cell research requires a fertilized human embargo.,Is some medical research controversial? ,Yes
77,SemCrit,"""Can't you just be quiet?"" she snapped revealing her irrigation.",Did she want silence?,Yes
78,SemCrit,Agriculture in this desert would be impossible without this irritation.,Is this place a desert? ,Yes
79,SemCrit,The poor stayed poor because of this limited upward nobility.,Did the underpriviledged often end up wealthy?  ,No
80,SemCrit,Champagne was once reserved exclusively for the royalty and mobility.,Was champagne always widely available? ,No
1,BadExp,The mysterious murders crippled the community with fear and parnoia.,Was the community anxious? ,Yes
2,BadExp,Whenever he reminisces about his beloved he starts waxing poedic.,Do his memories make him violent? ,No
3,BadExp,The dentist gave her some dental floss and a toothbrushes.,Was the toothbrush a gift from a teacher? ,No
4,BadExp,"He was rude and blunt, but he was never dishonesty.",Was he polite? ,No
5,BadExp,The family switcked their light bullbs frum incaddascent to flurescent.,Did they get new light bulbs? ,Yes
6,BadExp,Right-to-die activists believe it should be legal to perform euthanassia.,Do the activists want to outlaw suicide? ,No
7,BadExp,Tourists gazed at the temple's magnificent rows of marble collumns.,Were the columns part of a temple? ,Yes
8,BadExp,The mermaid is a mythological creature that is half fishee.,Is the creature half horse? ,No
9,BadExp,The chimpanzee's vicious attack left the woman's face completely evisceratted.,Were the monkeys violent? ,Yes
10,BadExp,The psychologist believed his fits were a symptom of neurisis.,Does the sentence mention a psychologist? ,Yes
11,BadExp,The value of practice and experience should never be underestimaed.,Is practice worthwhile? ,Yes
12,BadExp,"She disliked public displays of affection, like kissing or huggeng.",Was she uncomfortable with kissing publicly? ,Yes
13,BadExp,He was in charge of sending out the wedding intivatations.,Was the event a wedding? ,Yes
14,BadExp,The evil villain secretly concocted a diabolical and convoluted schemes.,Was the plot a secret? ,Yes
15,BadExp,The religious mystic entered a euphoric state of spiritual esctasy.,Was the mystic suffering? ,No
16,BadExp,The man shaved away his stubble with a disposable razors.,Was the man shaving? ,Yes
17,BadExp,The earth shook and buildings crumbled in the massive earthcake.,Were the buildings damaged by high winds? ,No
18,BadExp,The sociologist investigated how status interacted with ethnicity and gander.,Does the sentence mention a mathematician? ,No
19,BadExp,"Because the dictator was feared, no prrotests ever took place.",Was the nation's leader frightening? ,Yes
20,BadExp,The caterpillar enters its cocoon and undergoes an amazing metamophasis.,Was the insect a beetle? ,No
21,BadExp,The lighthouse built on the rocky coast prevented many shiippwrecks.,Was the coastline dangerous? ,Yes
22,BadExp,She woke up crying and shakea after a horrible nightmare.,Was she upset because she lost her job? ,No
23,BadExp,The reality show censored out the condestants' nudity and profanity.,Were the contestants sometimes naked? ,Yes
24,BadExp,"Desperately, the skydiver pulled the cord for his backeup parachute.",Was he falling? ,Yes
25,BadExp,"When the car exploded, the burning platic emitted toxic fumes.",Was the gasoline causing the fumes? ,No
26,BadExp,She needed to buy detrgent so she could do laundry.,Does the sentence mention laundry detergent?  ,Yes
27,BadExp,The tourister sent each of her friends a nice postcard.,Did she send postcards to her family? ,No
28,BadExp,She felt reading someone else's dairy was an unforgivable intrusion.,Did she value privacy? ,Yes
29,BadExp,The paochors want to sell the tusks of these elaphants.,Are they trying to sell animal furs? ,No
30,BadExp,A gust of wind blew the neawspaper down the strreet.,Was the street windy? ,Yes
31,BadExp,The reader was drawn in by the article's sansational headline.,Was the reader interested? ,Yes
32,BadExp,After a good night's sleap she felt ivigarater and refreshed.,Did she sleep well? ,Yes
33,BadExp,I was pleasing to find my hosters were very welcoming.,Was I unhappy? ,No
34,BadExp,The self-asorbed man considered himself a prfound thinker and philosopher.,Does he have a high opinion of himself? ,Yes
35,BadExp,The meaning of the poemm was left open to interpretation.,Was the implication of the poem narrowly constrained? ,No
36,BadExp,The shy and awkwward boy was shunned by his classmates.,Did the classmates welcome the boy? ,No
37,BadExp,Lupus is a dicease that is very dificcult to diagnose.,Does the sentence mention an illness? ,Yes
38,BadExp,Mallnutrinion results when the body does not get enough nutrients.,Does the sentence mention malnutrition?,Yes
39,BadExp,"This mission is critical, and completed it sucesfully is imperative.",Is failure an option? ,No
40,BadExp,The audio editing softwares was available as a free download.,Was the software for editing photos? ,No
1,Filler,The district attorney did not have enough evidence to prosecute.,Does the sentence mention evidence? ,Yes
2,Filler,"To succeed, you must be more than just a dreamer.",Can you win by imagination alone? ,No
3,Filler,"Repulsed by the city's defenses, they resorted to a siege.",Were the invaders planning to surround the city? ,Yes
4,Filler,The ruling regime did not tolerate any real political opposition.,Was political debate encouraged? ,No
5,Filler,He could no longer remember anything because of his amnesia.,Was his memory exceptionally sharp? ,No
6,Filler,The bird warbled a cheerful tune ending in a trill.,Was the tune played on a flute? ,No
7,Filler,The terrorists threatened to kill all of the frightened hostages.,Were the terrorists threatening to kill themselves? ,No
8,Filler,She always made a list before going shopping for groceries.,Did she make a list before shopping?,Yes
9,Filler,The workers went on strike to demand better living conditions.,Did the workers want better living conditions? ,Yes
10,Filler,The old farmer plowed the corn field with a tractor.,Did the farmer grow wheat? ,No
11,Filler,The report's aims were briefly outlined in the opening paragraph.,Were the aims made clear immediately? ,Yes
12,Filler,The sunrise was accompanied by the crowing of the rooster.,Was the sun rising? ,Yes
13,Filler,"After being arrested for substance abuse, he voluntarily underwent rehabilitation.",Did he submit to treatment willingly? ,Yes
14,Filler,A terrifying three-headed dog guarded the entrance to the underworld.,Was the dog intimidating? ,Yes
15,Filler,"When my microwave died, I searched online for a replacement.",Did the microwave break? ,Yes
16,Filler,"If you want concentrated broth, you should simmer it uncovered.",Should you leave the lid on while thickening broth? ,No
17,Filler,Regulating interstate trade is a job of the federal government.,Is the government in charge the federal government? ,Yes
18,Filler,You can make positive change if you take the initiative.,Does the sentence mention failure? ,No
19,Filler,The old abandoned house was filled with dust and cobwebs.,Was the dirty house uninhabited? ,Yes
20,Filler,You should write all your appointments down in your calendar.,Should you write down appointments? ,Yes
21,Filler,The flower vase shattered when it fell off the shelf.,Was the broken object a wine bottle? ,No
22,Filler,The magnificent roaring sea made him feel small and insignificant.,Did he feel significant?,No
23,Filler,The artist carved a block of marble into a sculpture.,Was the sculpture made of marble? ,Yes
24,Filler,The king's court was filled with scandal and political intrigue.,Was the scandal in the assembly? ,No
25,Filler,The radio transmission we thought was secure has been intercepted.,Was the message sent over the internet? ,No
26,Filler,Every day at lunch she ordered a hamburger or cheeseburger.,Does the sentence mention food? ,Yes
27,Filler,The female parts of a flower are called the carpel.,Is a carpel part of a flower? ,Yes
28,Filler,He preferred reading biographies and historical accounts to reading novels.,Did he like nonfiction? ,Yes
29,Filler,The naughty little child had always been quite a troublemaker.,Had the child always been difficult? ,Yes
30,Filler,Xenophobia is an unreasonable fear or hatred of all foreigners.,Does the sentence mention a law? ,No
31,Filler,A shimmering pearl lay on the shell of the oyster.,Does the sentence mention a sea shell? ,Yes
32,Filler,"While evacuating, she lost her phone in all the commotion.",Did she evacuate? ,Yes
33,Filler,"Since blogging's inception, people have predicted the death of journalism.",Is journalism expected to prosper? ,No
34,Filler,Police arrested the drunk driver and revoked his driver's license.,Did the authorities punish the driver? ,Yes
35,Filler,The convenience store robbery was caught on the security camera.,Was the robbery at a convenience store?  ,Yes
36,Filler,The princess lived in a castle guarded by a dragon.,Did she live in a dragon cave? ,No
37,Filler,The thoroughbred racing horse was ridden by an experienced jockey.,Was the rider inexperienced? ,No
38,Filler,"He felt the meeting was pointless, but attendance was mandatory.",Did he think the meeting was valuable? ,No
39,Filler,The museum's Egyptian exhibition included many intriguing ceremonial burial artifacts.,Were the artifacts from China? ,No
40,Filler,Their refusal to hire a black waitress was blatant racism.,Was their hiring decision fair? ,No
41,Filler,"Only upperclassmen could join, and he was still a sophomore.",Was he allowed to join? ,No
42,Filler,The death of the store owner was tragic and senseless.,Did the owner deserve to die? ,No
43,Filler,The Pantheon in Rome is a marvel of ancient architecture.,Is the building in Venice? ,No
44,Filler,The persistent child worked for hours on the jigsaw puzzle.,Was solving the puzzle time-consuming? ,Yes
45,Filler,Alcatraz Island was famous for housing a high security penitentiary.,Does the sentence mention an island resort? ,No
46,Filler,The entire temple reverberated with the monks' steady rhythmic chanting.,Was the temple eerily silent? ,No
47,Filler,"When the toy proved hazardous, the victims sued the manufacturer.",Did they sue the government? ,No
48,Filler,The security alarm went off when it detected the intruder.,Did the noise signal a fire? ,No
49,Filler,Diplomats hoped the dispute would come to a peaceful resolution.,Were the diplomats pushing for a violent intervention? ,No
50,Filler,Growing vegetables for the farmer's market can be very profitable.,Does the sentence mention grocery stores? ,No
51,Filler,The woman was stubborn and refused to lose an argument.,Was the woman headstrong? ,Yes
52,Filler,She searched under the couch cushions for the television remote.,Did she search under the bed? ,No
53,Filler,She left the snuffed out cigarette smoldering in the ashtray.,Did she throw the cigarette on the sidewalk? ,No
54,Filler,The bodyguard chased after the fan at the rock concert.,Did the bodyguard chase after the fan?,Yes
55,Filler,Apple pie filling is usually spiced with nutmeg and cinnamon.,Does the recipe include thyme? ,No
56,Filler,Many young sports players look up to their team captains.,Do they disrespect the captains? ,No
57,Filler,She took a ballroom dancing class to learn the tango.,Did she want to learn to dance? ,Yes
58,Filler,"During boarding, the gate agent will call passengers on standby.",Will standby passengers be called? ,Yes
59,Filler,The math teacher wrote the problems up on the blackboard.,Was the teacher a biology teacher? ,No
60,Filler,"Because shampoo is a cosmetic, it is subject to regulation.",Does the sentence mention lipstick? ,No
61,Filler,The groom joyfully carried his young bride over the threshold.,Was the groom happy to be married? ,Yes
62,Filler,The language savant suffered brain damage in a car accident.,Was the brain damage because of a stroke? ,No
63,Filler,"Without painkillers, the agony from her injury was utterly unbearable.",Was she suffering from cramps? ,No
64,Filler,"Movie theaters usually give discounts for children, students, and seniors.",Do seniors usually pay less? ,Yes
65,Filler,"The most popular pastas are macaroni, vermicelli, lasagna, and spaghetti.",Is vermicelli a type of noodle? ,Yes
66,Filler,"FDR delivered many ""fireside chats,"" which were informal radio broadcasts.",Were the talks played on the radio? ,Yes
67,Filler,"Even after being caught, the cold-blooded killer showed no remorse.",Did the murderer feel guilty? ,No
68,Filler,The most popular casino card games are poker and blackjack.,Does the sentence mention slots? ,No
69,Filler,The breeding ground was set aside as a wildlife sanctuary.,Was the area protected? ,Yes
70,Filler,The reported bribery was just the tip of the iceberg.,Was the bribe an isolated affair? ,No
71,Filler,The rogue state refused to participate in any international negotiations.,Was the nation uncooperative? ,Yes
72,Filler,The skilled adventurer knew how to survive in the wilderness.,Did the adventurer know how to find food and water? ,Yes
73,Filler,"For their date, the couple went to a nice restaurant.",Did they go out to eat? ,Yes
74,Filler,"Of the politicians present, the governor was the most prominent.",Was the most prominent politician a governor? ,Yes
75,Filler,The gifted rapper was famous for his complex multisyllabic rhymes.,Was the rapper known for his sense of rhythm? ,No
76,Filler,"When taking medication, always be careful to follow the prescription.",Should you follow the instructions when taking medicine? ,Yes
77,Filler,"Those pearls are not real, but just a cheap imitation.",Are the pearls expensive? ,No
78,Filler,The cowboy fired off all six rounds in his revolver.,Did the cowboy use all the bullets? ,Yes
79,Filler,The most formal attire for a man is a tuxedo.,Is a double-breasted suit more formal than a tuxedo? ,No
80,Filler,"During industrialization, many moved to cities to work in factories.",Were the factories located in cities? ,Yes
81,Filler,The internet sometimes makes it difficult to guard your privacy.,Is it always easy to maintain privacy? ,No
82,Filler,The soldier had been a waitress before she was recruited.,Did the waitress become a nurse? ,No
83,Filler,Promoting small businesses helps to create jobs and decrease unemployment.,Does the sentence mention small businesses? ,Yes
84,Filler,"He bought his girlfriend perfume, and she bought him cologne.",Did he buy her jewelry? ,No
85,Filler,You must come to court if you have been summoned.,Does the sentence mention a requirement? ,Yes
86,Filler,The speedy roadrunner always managed to evade the hungry coyote.,Was the coyote hungry? ,Yes
87,Filler,Reading regularly is the best way to improve your vocabulary.,Is writing the best way to learn new words? ,No
88,Filler,They started a viral marketing campaign to increase their publicity.,Did they want to keep a low profile? ,No
89,Filler,His attempt to sound grand just came off as pompous.,Did he seem pretentious? ,Yes
90,Filler,The royal guards threw the prisoner into the castle dungeon.,Was the prisoner in a castle? ,Yes
91,Filler,"The company's juice was always fresh squeezed, never from concentrate.",Did the company sometimes make juice from concentrate? ,No
92,Filler,"After the important deal fell through, the company went bankrupt.",Was the company doing well financially? ,No
93,Filler,"In his nightmare, he plummeted down a dark endless abyss.",Did his dream involve falling? ,Yes
94,Filler,The octopus is believed to be the most intelligent invertebrate.,Is the squid thought to be smarter than the octopus? ,No
95,Filler,She wanted a green lawn and a white picket fence.,Did she desire a fence? ,Yes
96,Filler,The doctor warned the medication could cause nausea and vomiting.,Did the doctor warn about addiction? ,No
97,Filler,A pessimistic prediction can quite often become a self-fulfilling prophecy.,Does the sentence mention an optimistic prediction? ,No
98,Filler,The meek student was too intimidated to ask a question.,Was the student frightened? ,Yes
99,Filler,A judge or a priest can perform an official marriage.,Can a physician perform a marriage? ,No
100,Filler,"After a risky surgery, the man unfortunately died of complications.",Was the surgery dangerous? ,Yes
101,Filler,He slipped but luckily grabbed onto the handrail by reflex.,Did he lose his footing? ,Yes
102,Filler,"Avocados, onions, tomatoes, lime, and cilantro make the perfect guacamole.",Does the recipe include onions? ,Yes
103,Filler,The old hermit lived all alone in an isolated cottage.,Did the hermit live in a cottage? ,Yes
104,Filler,The spicy hot fermented cabbage in Korean food is kimchi.,Is kimchi a Korean dish? ,Yes
105,Filler,The air smelled of pine and the birds were chirping.,Did the air smell like roses? ,No
106,Filler,The manager worked to cut out waste and increase efficiency.,Does the sentence mention a manager? ,Yes
107,Filler,The nonconformist despised fashion and never cared about his reputation.,Was he disdainful of popular styles? ,Yes
108,Filler,Gossip about the celebrity scandal was paraded through the tabloids.,Did the media learn of the scandal? ,Yes
109,Filler,The technological boom progressed more quickly than anyone could anticipate.,Was the progress rapid? ,Yes
110,Filler,"To keep healthy, do aerobic exercises like running or jogging.",Does the sentence describe building muscle? ,No
111,Filler,The child painstakingly knotted the laces on her new sneakers.,Did the child know how to tie her shoes? ,Yes
112,Filler,You should never drive a car while under the influence.,Does the sentence mention driving? ,Yes
113,Filler,"The baron pouted, feeling the insult had wounded his dignity.",Was he hurt by the insult? ,Yes
