ItemNum,Condition,Sentence,Question,Answer
71,Control,"For lunch, she had brought tomato soup in a thermos.",Did she bring her own lunch? ,Yes
72,Control,The soaring eagle circled and glided upwards on a thermal.,,
73,Control,The student had his editorial published in a local gazette.,Was the editorial published locally? ,Yes
74,Control,The powerful cheetah sprinted in pursuit of a baby gazelle.,,
75,Control,You cannot buy Cuban cigars because there is an embargo.,Do the unavailable items contain tobacco? ,Yes
76,Control,Some controversial stem cell research requires a fertilized human embryo.,Is some medical research controversial? ,Yes
77,Control,Can't you just be quiet? she snapped revealing her irritation.,,
78,Control,Agriculture in this desert would be impossible without this irrigation.,,
79,Control,The poor stayed poor because of this limited upward mobility.,,
80,Control,Champagne was once reserved exclusively for the royalty and nobility.,Was champagne always widely available? ,No
81,Control,The lecherous satyr chased after a beautiful lithe wood nymph.,,
82,Control,Two important fluids in the body are blood and lymph.,Is the sentence about bones? ,No
83,Control,"The circus featured an acrobat, a clown, and a juggler.",Was there a clown at the performance? ,Yes
84,Control,"She lunged towards his neck, going right for the jugular.",Was she trying to make him trip?  ,No
85,Control,"In the nineties, the Rugrats was a very popular cartoon.",,
86,Control,The child made a caterpillar from an old egg carton.,,
87,Control,Handling the rough wooden plank gave the woman a splinter.,Had the plank been sanded down? ,No
88,Control,Cats were the only company for this lonely old spinster.,Were the companion animals aquatic? ,No
89,Control,"Candidates must be citizens, but that is the only stipulation.",Is citizenship required? ,Yes
90,Control,He had a short attention span and needed constant stimulation.,,
91,Control,She was vaccinated so her body would developed an immunity.,,
92,Control,"Incensed at the captain, the crew staged a full-scale mutiny.",Were the sailors angry? ,Yes
93,Control,The mason built his own house of brick and mortar.,Did he make a wooden house? ,No
94,Control,The goddess refused to be bested by a mere mortal.,Was the deity okay with losing? ,No
95,Control,"Like the IRS and FBI, CIA is another three-letter abbreviation.",Were they similar because they rhymed? ,No
96,Control,The thesaurus shows that a synonym for drunkenness is inebriation.,,
97,Control,A lolcat is cat photograph with a humorous ungrammatical caption.,Does the sentence mention a photo? ,Yes
98,Control,The sailors feared the harsh discipline of this ship captain.,,
99,Control,The teacher taught that subtraction was the opposite of addition.,Was the lesson about grammar? ,No
100,Control,The flute player nervously prepared an excerpt for an audition.,Did the musician feel anxious? ,Yes
101,Control,The museum pass provides five dollars off of each admission.,Does the pass apply to only one admission? ,No
102,Control,"Never stay out past midnight, was his mother's strict admonition.",,
103,Control,Old car engines mixed fuel and air in a carburetor.,,
104,Control,Edith Piaf's extraordinary singing career was begun in a cabaret.,Was Edith Piaf an actress? ,No
105,Control,On the mountaintop we felt dizzy because of this altitude.,Were we up quite high? ,Yes
106,Control,The coach scolded the player for having a bad attitude.,Was the student rebuked by a peer? ,No
107,Control,The college sent out a newsletter to all its alumni.,Does the sentence mention a college? ,Yes
108,Control,Soda cans and tin foil are both made of aluminum.,Are soda cans made from petroleum? ,No
109,Control,The princess arrived at the ball in a horse-drawn carriage.,Did the princess come to the ball? ,Yes
110,Control,The printer needed more paper and a new ink cartridge.,Was the printer out of paper? ,Yes
111,Control,Marie Curie died of exposure to radiation from this radium.,,
112,Control,No light escapes the black hole once within this radius.,Can high-energy light escape the black hole? ,No
113,Control,The United States has a large stockpile of nuclear armaments.,Do the weapons belong to the US? ,Yes
114,Control,The Christmas tree was decorated with many shining glass ornaments.,,
115,Control,Blackmail is just one of many weapons in this arsenal.,Does this weapon contain gunpowder? ,No
116,Control,The detectives discovered the professor was poisoned with this arsenic.,,
117,Control,The cheapest lunchmeat at this grocery store is this baloney.,,
118,Control,Romeo longingly admired Juliet as she stood on this balcony.,Was she seated? ,No
119,Control,"He soon backed away, sensing he had crossed a boundary.",,
120,Control,Capture or kill the wanted criminal to collect a bounty.,,
121,Control,The celebrating couple joyfully popped open a bottle of champagne.,,
122,Control,"The slogan ""change"" was a focus of that presidential campaign.",Was the focal point a specific policy? ,No
123,Control,A syllogism is a common form of a deductive inference.,,
124,Control,The napalm turned the luscious forest into a fiery inferno.,Was the forest fire started by campers? ,No
125,Control,I blacked out and was confused when I regained consciousness.,Was I disoriented when I awoke? ,Yes
126,Control,"After she deceived her mother, she had a guilty conscience.",,
127,Control,The sudden change in protocol had caused all this consternation.,Was the transition gradual? ,No
128,Control,The Big Dipper may perhaps be the most famous constellation.,Do many people know about it? ,Yes
129,Control,The herd of cows was out grazing in a pasture.,,
130,Control,The congregation listens to a sermon delivered by a pastor.,,
131,Control,A soldier fighting for the highest bidder is a mercenary.,,
132,Control,The devout Christian girl travelled to India as a missionary.,,
133,Control,That white dog with little black spots is a dalmatian.,Was the creature a canine? ,Yes
134,Control,"Once Faust signed, he was doomed to this eternal damnation.",,
135,Control,The crowded urban neighborhood had a very high population density.,Was the district basically deserted? ,No
136,Control,I control my fate; I don't have a predetermined destiny.,,
137,Control,"She didn't answer the phone, so I left a message.",Did she pick up? ,No
138,Control,My back was so tense I really needed a massage.,Was my problem stiff joints? ,No
139,Control,The president of the college handed each graduate a diploma.,Was the president at the graduation? ,Yes
140,Control,The ambassador who negotiated the deal was a skilled diplomat.,,
141,Control,The retiree found he soon tired of all this leisure.,,
142,Control,His personality was dramatically altered after acquiring this brain lesion.,Was the alteration noticeable? ,Yes
143,Control,The low intensity workout compensated by having a long duration.,Was the exercise intense? ,No
144,Control,"He idolized her, and her self-esteem benefited from this adoration.",Did he like her? ,Yes
145,Control,Yuan emperors were Mongolian because Kublai Khan founded this dynasty.,Were the rulers Mongolian? ,Yes
146,Control,That grenade explodes stronger than a stick of this dynamite.,Is that an explosive weapon? ,Yes
147,Control,"The contraction for ""it is"" needs to include an apostrophe.",,
148,Control,The doomsday preacher urged repentance and warned of an apocalypse.,Was the preacher advocating temperance? ,No
149,Control,The soldier rammed gunpowder down the barrel of a musket.,Did the soldier have a gun? ,Yes
150,Control,Two common semi-aquatic rodents are a beaver and a muskrat.,Are these animals fairly common? ,Yes
151,Control,"To make the car accelerate, press down on this pedal.",Will doing this stop the car? ,No
152,Control,"He loves me? she wondered, plucking off a daisy petal.",,
153,Control,"Rather than reducing violence, the intervention just caused an escalation.",Did the intervention work as planned? ,No
154,Control,She scolded the child for running backwards up an escalator.,Did the woman scold the child? ,Yes
155,Control,"Intestinal problems may indicate a tapeworm, a type of parasite.",,
156,Control,"To protect herself from the sun, she carried a parasol.",,
157,Control,"Considering my previous experiences, I had a rather low expectation.",,
158,Control,Blizzards are deadly hazards for explorers on an arctic expedition.,Can the weather be dangerous? ,Yes
159,Control,Claiming two wrongs make a right is a common fallacy.,Do people make this claim often? ,Yes
160,Control,Don't call it a prison; call it a correctional facility.,,
1,Sem,Someone who has fought in a war is a rhinestone.,Does the sentence mention a war? ,Yes
2,Sem,The woman brought her sick pet dog to a carton.,Was the animal a canine? ,Yes
3,Sem,The vintage wedding dress was big and required an inferno.,Was the gown too small? ,No
4,Sem,Mediators prevented the dispute from escalating into a violent muskrat.,Was there a disagreement? ,Yes
5,Sem,The storyteller could turn any incident into an amusing hearse.,Does the sentence mention a storyteller? ,Yes
6,Sem,She saved him from the poison by administering a matinee.,,
7,Sem,Clownfish have evolved invulnerability to the poison tentacles of ornaments.,Are the fish specially adapted? ,Yes
8,Sem,The upscale apartment was complete with all these modern lymph.,Did the residence need an upgrade? ,No
9,Sem,The flooded river fertilized the fields with a rich juggler.,Did the river overflow its banks? ,Yes
10,Sem,Political corruption and economic hardship fueled a growing anti-government dalmatian.,Were people increasingly pro-government? ,No
11,Sem,Up on the tree branch perched a bright red masquerade.,Does the sentence mention a tree? ,Yes
12,Sem,There is a beanbag toss game booth at this destruction.,Were the beanbags for a game? ,Yes
13,Sem,The reagents reacted faster in the presence of an anecdote.,,
14,Sem,"After hours of playing, the guitarist's fingertips developed a pasture.",,
15,Sem,Pikemen can be an effective defense against a charging stipulation.,,
16,Sem,The dentist congratulated me on not having a single petal.,,
17,Sem,After my root canal the dentist prescribed a pain balcony.,,
18,Sem,The monk sat quietly and fell into a deep arsenal.,Was the monk seated? ,Yes
19,Sem,Her grandmother's pennies inspired her to start a coin parasol.,Does the sentence mention a grandmother? ,Yes
20,Sem,The teacher interrupted his sentence to make a grammatical mercenary.,Was he interrupted by a fire alarm? ,No
21,Sem,An intense tension headache can be mistaken for an empire.,Does the sentence mention a headache? ,Yes
22,Sem,Harvesting crops is often the job of a seasonal massage.,Does the sentence mention a skyscraper? ,No
23,Sem,"The zoo had two giraffes, an elephant, and a carburetor.",Does the sentence mention a zebra? ,No
24,Sem,The child wore a glittery crown with a pink captain.,Was the child wearing a top hat? ,No
25,Sem,The cause of death must be determined by a dynasty.,Was the reason for the death already known? ,No
26,Sem,His office is down at the end of this arsenic.,Does he have an office? ,Yes
27,Sem,Statisticians emphasize that causation is not implied by a hypotenuse.,Does the sentence mention statistics? ,Yes
28,Sem,The king knelt to be crowned at an official parasite.,,
29,Sem,The moth attracted a mate by releasing a potent admonition.,Did the insect attract a mate? ,Yes
30,Sem,The archeologists found the mummy of a young Egyptian hearth.,,
31,Sem,The student went to medical school to become a cardinal.,,
32,Sem,A new gravitational theory was proposed by an eminent campaign.,Was the new theory about psychology? ,No
33,Sem,Blinking causes a momentary pupil contraction followed by a mutiny.,Does the sentence mention the iris? ,No
34,Sem,The bleach is too concentrated and requires a 1-in-5 shudder.,,
35,Sem,"The whining alarm shut off, finally silencing this annoying mascara.",Was the alarm irritating? ,Yes
36,Sem,The vicious cyclone tragically caused many deaths and much aluminum.,Were the deaths caused by the weather? ,Yes
37,Sem,"Disgusted, she pulled away from his touch with a facility.",,
38,Sem,One window on the dilapidated house was missing a migrant.,Was the house in ill repair? ,Yes
39,Sem,Rupert Murdoch is the owner of a vast media meditation.,,
40,Sem,The baseball player felt cheated and swore at a coronation.,Was the player a tennis player? ,No
41,Sem,The Caribbean cruise package includes this kayaking† and snorkeling irritation.,,
42,Sem,He had sprinted and was still sweating from this cardinal.,Had he been lifting weights? ,No
43,Sem,The study of sounds in language is known as leisure.,Does the sentence mention music? ,No
44,Sem,The pseudoscience of inferring personality from skull measurements is saffron.,Does the sentence mention palm reading? ,No
45,Sem,The casket was carried to the cemetery in a dilution.,Does the sentence mention a cemetary? ,Yes
46,Sem,"Each winter evening, the family gathers around a warm alteration.",Does the family gather berries? ,No
47,Sem,The heat felt even worse because of all this catalyst.,Was the warmth unpleasant? ,Yes
48,Sem,The sermon denounced pride and extolled the virtue of alumni.,Did the sermon mention pride? ,Yes
49,Sem,The scientist designed an experiment to test a controversial gazette.,Did the scientist design a robot? ,No
50,Sem,Use Pythagoras' theorem to find the length of a cavalry.,Does the sentence mention a theorem? ,Yes
51,Sem,The preacher believed drunkenness was the cause of much irrigation.,Does the sentence mention cursing? ,No
52,Sem,The artist achieved eternal fame despite not seeking this dilation.,Was the artist's fame enduring? ,Yes
53,Sem,"After the Holocaust, German history could never escape this antidote.",,
54,Sem,"Despite technological advances, wars cannot be won without an embryo.",Has military technology improved? ,Yes
55,Sem,"Oh, yes, very impressive, she drawled with a sarcastic pastor.",,
56,Sem,Medics cleaned and bandaged the wound to prevent a sapphire.,,
57,Sem,"The three kings bore gifts of gold, myrrh, and anemones.",Were the gifts brought by women? ,No
58,Sem,It's alive! he cackled as he animated this monster bounty.,,
59,Sem,This docile herbivorous aquatic mammal is known as a stimulation.,Is the creature a mammal? ,Yes
60,Sem,The afternoon showing cost less because it was a sentiment.,Was the show less expensive?  ,Yes
61,Sem,Apply this eyeliner and brush your lashes with this audition.,Does the sentence mention lipstick? ,No
62,Sem,She danced with an elegant masked gentleman at that mortar.,Did the man hide his face? ,Yes
63,Sem,Feudal lords lived off the labor of an oppressed travesty.,Does the sentence mention medieval clergy? ,No
64,Sem,The hostess greeted her guests with a light social escalator.,,
65,Sem,Senator McCarthy accused the screenwriter of being a Communist fallacy.,,
66,Sem,The computer could read text aloud using a speech baloney.,,
67,Sem,The castle wall was adorned with a beautiful woven abbreviation.,,
68,Sem,He denounced the novel's film adaptation as a complete diploma.,Did he recommend the movie? ,No
69,Sem,The ring held small diamonds set around this blue medication.,,
70,Sem,The rice was spiced with a pinch of that message.,Was the rice served plain? ,No
71,Sem,"For lunch, she had brought tomato soup in a lesion.",Did she bring her own lunch? ,Yes
72,Sem,The soaring eagle circled and glided upwards on a physician.,Was the bird an ostrich? ,No
73,Sem,The student had his editorial published in a local pleasantry.,Was the editorial published locally? ,Yes
74,Sem,The powerful cheetah sprinted in pursuit of a baby addition.,,
75,Sem,You cannot buy Cuban cigars because there is a correction.,,
76,Sem,Some controversial stem cell research requires a fertilized human migraine.,Is some medical research controversial? ,Yes
77,Sem,Can't you just be quiet? she snapped revealing her frankincense.,,
78,Sem,Agriculture in this desert would be impossible without this caption.,,
79,Sem,The poor stayed poor because of this limited upward spinster.,,
80,Sem,Champagne was once reserved exclusively for the royalty and pheromone.,Was champagne always widely available? ,No
81,Sem,The lecherous satyr chased after a beautiful lithe wood destiny.,Was the pursued creature especially clumsy? ,No
82,Sem,Two important fluids in the body are blood and campaign.,Is the sentence about bones? ,No
83,Sem,"The circus featured an acrobat, a clown, and a cavity.",Was there a clown at the performance? ,Yes
84,Sem,"She lunged towards his neck, going right for the nymph.",Was she trying to make him trip?  ,No
85,Sem,"In the nineties, the Rugrats was a very popular boundary.",,
86,Sem,The child made a caterpillar from an old egg campaign.,,
87,Sem,Handling the rough wooden plank gave the woman a nobility.,,
88,Sem,Cats were the only company for this lonely old radium.,,
89,Sem,"Candidates must be citizens, but that is the only altitude.",,
90,Sem,He had a short attention span and needed constant sediment.,Did he concentrate easily? ,No
91,Sem,She was vaccinated so her body would developed a cartoon.,Was the injection an anesthetic? ,No
92,Sem,"Incensed at the captain, the crew staged a full-scale correlation.",Were the sailors angry? ,Yes
93,Sem,The mason built his own house of brick and humidity.,Did he make a wooden house? ,No
94,Sem,The goddess refused to be bested by a mere expectation.,,
95,Sem,"Like the IRS and FBI, CIA is another three-letter mobility.",Were they similar because they rhymed? ,No
96,Sem,The thesaurus shows that a synonym for drunkenness is splinter.,,
97,Sem,A lolcat is cat photograph with a humorous ungrammatical radius.,Does the sentence mention a photo? ,Yes
98,Sem,The sailors feared the harsh discipline of this ship phrenology.,,
99,Sem,The teacher taught that subtraction was the opposite of humility.,,
100,Sem,The flute player nervously prepared an excerpt for a corridor.,Did the musician feel anxious? ,Yes
101,Sem,The museum pass provides five dollars off of each carnival.,,
102,Sem,"Never stay out past midnight, was his mother's strict gazelle.",,
103,Sem,Old car engines mixed fuel and air in a callus.,Did the engines mix air with the fuel? ,Yes
104,Sem,Edith Piaf's extraordinary singing career was begun in a thermos.,,
105,Sem,On the mountaintop we felt dizzy because of this conscience.,Were we up quite high? ,Yes
106,Sem,The coach scolded the player for having a bad shutter.,,
107,Sem,The college sent out a newsletter to all its dynamite.,,
108,Sem,Soda cans and tin foil are both made of exertion.,Are soda cans made from petroleum? ,No
109,Sem,The princess arrived at the ball in a horse-drawn thermal.,Did the princess come to the ball? ,Yes
110,Sem,The printer needed more paper and a new ink veteran.,Was the printer out of paper? ,Yes
111,Sem,Marie Curie died of exposure to radiation from this veterinarian.,Did radiation cause her death? ,Yes
112,Sem,No light escapes the black hole once within this cabaret.,Can high-energy light escape the black hole? ,No
113,Sem,The United States has a large stockpile of nuclear adoration.,Do the weapons belong to the US? ,Yes
114,Sem,The Christmas tree was decorated with many shining glass infantry.,Were the decorations for Halloween? ,No
115,Sem,Blackmail is just one of many weapons in this consternation.,Does this weapon contain gunpowder? ,No
116,Sem,The detectives discovered the professor was poisoned with this carriage.,Was the victim a professor? ,Yes
117,Sem,The cheapest lunchmeat at this grocery store is this immortality.,Does this shop sell food? ,Yes
118,Sem,Romeo longingly admired Juliet as she stood on this consciousness.,Was she seated? ,No
119,Sem,"He soon backed away, sensing he had crossed a manatee.",Did he retreat? ,Yes
120,Sem,Capture or kill the wanted criminal to collect an expedition.,Can the outlaw be shot? ,Yes
121,Sem,The celebrating couple joyfully popped open a bottle of armaments.,,
122,Sem,"The slogan ""change"" was a focus of that presidential damnation.",Was the focal point a specific policy? ,No
123,Sem,A syllogism is a common form of a deductive peasantry.,Does the sentence mention a reptile? ,No
124,Sem,The napalm turned the luscious forest into a fiery attitude.,,
125,Sem,I blacked out and was confused when I regained duration.,,
126,Sem,"After she deceived her mother, she had a guilty musket.",Was she proud of her trickery? ,No
127,Sem,The sudden change in protocol had caused all this inflection.,Was the transition gradual? ,No
128,Sem,The Big Dipper may perhaps be the most famous immunity.,,
129,Sem,The herd of cows was out grazing in an altercation.,,
130,Sem,The congregation listens to a sermon delivered by an escalation.,,
131,Sem,A soldier fighting for the highest bidder is an apostrophe.,Is the fighter motivated by nationalism? ,No
132,Sem,The devout Christian girl travelled to India as an admission.,,
133,Sem,That white dog with little black spots is an umpire.,,
134,Sem,"Once Faust signed, he was doomed to this eternal inference.",Was his fate permanent? ,Yes
135,Sem,The crowded urban neighborhood had a very high population missionary.,Was the district basically deserted? ,No
136,Sem,I control my fate; I don't have a predetermined embargo.,,
137,Sem,"She didn't answer the phone, so I left a tapestry.",,
138,Sem,My back was so tense I really needed a cartridge.,,
139,Sem,The president of the college handed each graduate an infection.,,
140,Sem,The ambassador who negotiated the deal was a skilled constellation.,Was the bargain worked out by a senator?  ,No
141,Sem,The retiree found he soon tired of all this phonology.,Did he retire because he was tired? ,No
142,Sem,His personality was dramatically altered after acquiring this brain rhino.,,
143,Sem,The low intensity workout compensated by having a long Frankenstein.,Was the exercise intense? ,No
144,Sem,"He idolized her, and her self-esteem benefited from this synthesizer.",Did he like her? ,Yes
145,Sem,Yuan emperors were Mongolian because Kublai Khan founded this inebriation.,Were the rulers Mongolian? ,Yes
146,Sem,That grenade explodes stronger than a stick of this infamy.,Is that an explosive weapon? ,Yes
147,Sem,"The contraction for ""it is"" needs to include a jugular.","Is ""it's"" a valid contraction? ",Yes
148,Sem,The doomsday preacher urged repentance and warned of a pharaoh.,,
149,Sem,The soldier rammed gunpowder down the barrel of a distraction.,Did the soldier have a gun? ,Yes
150,Sem,Two common semi-aquatic rodents are a beaver and a collection.,Are these animals fairly common? ,Yes
151,Sem,"To make the car accelerate, press down on this immorality.",Will doing this stop the car? ,No
152,Sem,"He loves me? she wondered, plucking off a daisy coroner.",,
153,Sem,"Rather than reducing violence, the intervention just caused a pedal.",,
154,Sem,She scolded the child for running backwards up an apocalypse.,,
155,Sem,"Intestinal problems may indicate a tapeworm, a type of density.",,
156,Sem,"To protect herself from the sun, she carried a physicist.",Was she trying to avoid getting wet? ,No
157,Sem,"Considering my previous experiences, I had a rather low diplomat.",,
158,Sem,Blizzards are deadly hazards for explorers on an arctic sympathizer.,Can the weather be dangerous? ,Yes
159,Sem,Claiming two wrongs make a right is a common excursion.,Do people make this claim often? ,Yes
160,Sem,Don't call it a prison; call it a correctional mortal.,Is it a theme park? ,No
1,Synt,Someone who has fought in a war is a veterans.,Does the sentence mention a war? ,Yes
2,Synt,The woman brought her sick pet dog to a veterinarians.,,
3,Synt,The vintage wedding dress was big and required an alterations.,Was the gown too small? ,No
4,Synt,Mediators prevented the dispute from escalating into a violent altercations.,Was there a disagreement? ,Yes
5,Synt,The storyteller could turn any incident into an amusing anecdotes.,Does the sentence mention a storyteller? ,Yes
6,Synt,She saved him from the poison by administering an antidotes.,Did she save him by amputating? ,No
7,Synt,Clownfish have evolved invulnerability to the poison tentacles of anemone.,Are the fish specially adapted? ,Yes
8,Synt,The upscale apartment was complete with all these modern amenity.,,
9,Synt,The flooded river fertilized the fields with a rich sediments.,Did the river overflow its banks? ,Yes
10,Synt,Political corruption and economic hardship fueled a growing anti-government sentiments.,,
11,Synt,Up on the tree branch perched a bright red cardinals.,Does the sentence mention a tree? ,Yes
12,Synt,There is a beanbag toss game booth at this carnivals.,Were the beanbags for a game? ,Yes
13,Synt,The reagents reacted faster in the presence of a catalysts.,Was the reaction rate increased? ,Yes
14,Synt,"After hours of playing, the guitarist's fingertips developed a calluses.",,
15,Synt,Pikemen can be an effective defense against a charging cavalries.,Does the sentence mention a fish? ,No
16,Synt,The dentist congratulated me on not having a single cavities.,,
17,Synt,After my root canal the dentist prescribed a pain medications.,,
18,Synt,The monk sat quietly and fell into a deep meditations.,Was the monk seated? ,Yes
19,Synt,Her grandmother's pennies inspired her to start a coin collections.,Does the sentence mention a grandmother? ,Yes
20,Synt,The teacher interrupted his sentence to make a grammatical corrections.,Was he interrupted by a fire alarm? ,No
21,Synt,An intense tension headache can be mistaken for a migraines.,,
22,Synt,Harvesting crops is often the job of a seasonal migrants.,Does the sentence mention a skyscraper? ,No
23,Synt,"The zoo had two giraffes, an elephant, and a rhinos.",,
24,Synt,The child wore a glittery crown with a pink rhinestones.,,
25,Synt,The cause of death must be determined by a coroners.,,
26,Synt,His office is down at the end of this corridors.,Does he have an office? ,Yes
27,Synt,Statisticians emphasize that causation is not implied by a correlations.,,
28,Synt,The king knelt to be crowned at an official coronations.,,
29,Synt,The moth attracted a mate by releasing a potent pheromones.,,
30,Synt,The archeologists found the mummy of a young Egyptian pharoahs.,Was the mummy discovered by a paleontologist? ,No
31,Synt,The student went to medical school to become a physicians.,Was the student a medical student? ,Yes
32,Synt,A new gravitational theory was proposed by an eminent physicists.,Was the new theory about psychology? ,No
33,Synt,Blinking causes a momentary pupil contraction followed by a dilations.,Does the sentence mention the iris? ,No
34,Synt,The bleach is too concentrated and requires a 1-in-5 dilutions.,,
35,Synt,"The whining alarm shut off, finally silencing this annoying distractions.",,
36,Synt,The vicious cyclone tragically caused many deaths and much destructions.,,
37,Synt,"Disgusted, she pulled away from his touch with a shudders.",Was she grossed out?   ,Yes
38,Synt,One window on the dilapidated house was missing a shutters.,Was the house in ill repair? ,Yes
39,Synt,Rupert Murdoch is the owner of a vast media empires.,,
40,Synt,The baseball player felt cheated and swore at an umpires.,Was the player a tennis player? ,No
41,Synt,The Caribbean cruise package includes this kayaking† and snorkeling excursions.,,
42,Synt,He had sprinted and was still sweating from this exertions.,Had he been lifting weights? ,No
43,Synt,The study of sounds in language is known as phonologies.,Does the sentence mention music? ,No
44,Synt,The pseudoscience of inferring personality from skull measurements is phrenologies.,,
45,Synt,The casket was carried to the cemetery in a hearses.,Does the sentence mention a cemetary? ,Yes
46,Synt,"Each winter evening, the family gathers around a warm hearths.",Does the family gather berries? ,No
47,Synt,The heat felt even worse because of all this humidities.,Was the warmth unpleasant? ,Yes
48,Synt,The sermon denounced pride and extolled the virtue of humilities.,,
49,Synt,The scientist designed an experiment to test a controversial hypotheses.,,
50,Synt,Use Pythagoras' theorem to find the length of a hypotenuses.,,
51,Synt,The preacher believed drunkenness was the cause of much immoralities.,,
